加班 残業する
担心 心配する
吃饭(用餐) 食事する
整理 整理する
复印 コピーする
乘坐(乘) 乗る
用(使用) 使う
坐(落座) 座る
进入(加入)(动1) 入る
是(说)(讲)(告诉) 申す
休息 休む
工作 働く
开始 始まる
结束 終わる
起床 起きる
睡觉 寝る
学习(主动学习) 勉強する
去 行く
回来 帰る
来 来る
喝 飲む
买 買う
拍照 撮る
写 書く
读 読む
听 聞く
吃 食べる
看 見る
做，干 する
打扫 掃除する
得到 もらう
见(面) 会う
寄 送る
做(制造) 作る
胖 太る
寄(信) 出す
收到(送到)(寄到) 届く
画 かく
借出(借给) 貸す
学习(被动学习或从他人那里学习) 習う
给 あげる
打(电话) かける
(向别人)借 借りる
教 教える
明白 分かる
犹豫 迷う
会(表示能力) できる
关闭 閉める
疲倦 疲れる
散步 散歩する
下(雨/雪) 降る
花费(时间/金钱) かかる
花开 咲く
游泳 泳ぐ
玩(玩耍) 遊ぶ
吸(烟) 吸う
剪(切/割) 切る
通过(经过) 通る
急(匆忙) 急ぐ
飞(飞行) 飛ぶ
死(死亡) 死ぬ
等待(等候) 待つ
卖(销售) 売る
说话(说) 話す
过马路(过桥) 渡る
取(卸货) 下ろす
选择(挑选) 選ぶ
关灯(消除/去除) 消す
步行(行走) 歩く
拐弯(曲折) 曲がる
洗(洗涤) 洗う
离开 出る
外出(出门) 出かける
开(打开/开启) 開ける
过 過ぎる
给~看(出示) 見せる
开(开灯) つける
下车(下山) 降りる
买东西 買い物する
毕业 卒業する
碰(触) 触る
脱 脱ぐ
摔(摔倒)(跌倒) 転ぶ
渴 渇く
痊愈(医好) 治る
滑(滑行) 滑る
呼喊 呼ぶ
归还 返す
帮忙 手伝う
搬运 運ぶ
丢(丢失) なくす
掉(使落下) 落とす
放置 置く
支付 払う
站(立) 立つ
忘记 忘れる
慌张(惊慌)(着急) 慌てる
扔(扔掉) 捨てる
取(取得) とる
唱(歌唱) 歌う
说(传达)(转告) 伝える
停(制止) 止める
有(拥有)(持有) 持つ
住(居住) 住む
认知(知道)(了解) 知る
改(修改)(改正) 直す
收拾(整理) 片づける
练习 練習する
结婚 結婚する
安心(放心) 安心する
开始(动2) 始める
联系(动3) 連絡する
变(当)(变成)(成为) なる
开(动1) 開く
适合(相称) 似合う
弹 弾く
肚子饿(空) すく
登(上) 登る
收集(动2) 集める
淋(浇) 浴びる
请客(摆盛宴) ごちそうする
回国 帰国する
交给 渡す
迟到 遅れる
考虑 考える
调查 調べる
穿 着る
预约(预定) 予約する
感谢 感謝する
运动 運動する
洗涤(动3) 洗濯する
报告 報告する
做(动1) やる
不同(不一样) 違う
拥挤 込む
决定(动1) 決まる
告诉 知らせる
查看(弄清楚) 確かめる
想(思考) 思う
说(讲) 言う
找(寻找)(寻求) 探す
笑 笑う
戒(停止)(放弃) やめる
决定(动2) 決める
睡懒觉(动3) 寝坊する
外出(出去)(动3) 外出する
研究(动3) 研究する
跑(奔跑) 走る
住(过夜)(住宿) 泊まる
连接(系) 結ぶ
印(记下) 取る
出生(诞生) 生まれる
倒闭(破产)(动3) 倒産する
堵车(停滞)(动3) 渋滞する
确认(动3) チェックする
防御(防备)(防守) 防ぐ
走访(转)(绕弯) 回る
吹 吹く
举起(举) 挙げる
足(够) 足りる
素描(写生) スケッチする
发言 発言する
得冠军 優勝する
及格(合格) 合格する
约定 約束する
上学(来往)(动1) 通う
聚(集合)(动1) 集まる
跳舞(动1) 踊る
要(动1) 要る
为难(难办)(动1) 困る
拍(打)(敲)(动1) たたく
放入(放进)(动2) 入れる
护理(动3) 看病する
吵架(打架)(动3) けんかする
利用(动3) 利用する
商谈(动3) 相談する
捡(拾) 拾う
翻译(动1) 訳す
给(动2) くれる
送到(送去)(动2) 届ける
向导(导游)(动3) 案内する
换(交换)(动3) 交換する
介绍(动3) 紹介する
停(停住)(动1) 止まる
变(转变)(动1) 変わる
拼命努力(动1) 頑張る
道歉(动1) 謝る
逃学(怠工)(动1) サボる
爽约(打破)(动1) 破る
