追/赶/催逼(动1) 追う
联想(动3) 連想する
经营/对待/处理(动1) 扱う
保持/维持/保/保住(动1) 保つ
崩溃/毁坏(动2) 崩れる
失去/丧失(动1) 失う
获奖/得奖(动3) 受賞する
留下/剩下(动1) 残す
解决(动3) 解決する
来源于/由来(动3) 由来する
缴纳/交纳/结束/完毕(动2) 納める
划分/分类(动3) 分類する
分/分开/分解(动2) 分ける
引进/引入/采用(动2) 取り入れる
依据/根据/基于(动1) 基づく
组合/编到一起(动2) 組み合わせる
煮/炖/熬/煨/焖(动2) 煮る
铺/垫(动1) 敷く
判断(动3) 判断する
发生(动3) 発生する
信赖/相信(动3) 信頼する
拖延/拖长(动1) 長引く
流行/时髦(动1) はやる
打扮/装饰(动3) おしゃれする
幸存/保住性命(动1) 生き残る
病倒/倒下/倒塌/倒闭(动2) 倒れる
端起/拿起/举起(动2) 持ち上げる
尖/尖细/紧张/发怒(动1) とがる
涂/擦/抹(动1) 塗る
赠送/授予(动1) 贈る
征集/寡集/招募(动3) 募集する
报道/采纳/拿起(动2) 取り上げる
延期(动3) 延期する
发达(动3) 発達する
转校/转学(动3) 転校する
换行(动3) 改行する
空开/空出(动2) あげる
加入/加上/增加(动2) 加える
集中/榨/挤(动1) 絞る
探访/探寻/试探(动1) 探る
寄钱/汇款(动3) 送金する
交往/交际(动3) 交際する
加入/注入(动1) 注ぐ
品尝/试餐(动3) 試食する
掰碎/弄碎/打碎(动1) 砕く
代替(动1) 代わる
销售/出售(动3) 販売する
坚信/确信(动3) 確信する
采用/采纳(动3) 採用する
滑落/滑下(动2) 滑り落ちる
赚钱/发财(动2) 儲ける
遭遇/碰上(动1) あう
跳出/跑出/飞起(动1) 飛び出す
敲/打(动1) 打つ
一致/归纳/凑齐(动1) まとまる
破/撕破(动2) 破れる
弄破(动1) 破く
呼叫/叫出(动1) 呼び出す
带口信/捎话/传话(动2) ことづける
招呼/呼唤(动2) 呼びかける
不说话/不出声/沉默(动1) 黙る
埋上/埋藏(动1) 埋まる
相通(动2) 相通じる
结束/终了(动3) 終了する
求婚(动2) プロポーズする
喜欢/爱好(动1) 好む
相通(动3) 相通ずる
清扫/扫除(动3) 清掃する
计划/安排/编制/编排(动1) 組む
来(我)公司(动3) 来社する
试穿(动3) 試着する
喷涌/喷出/涌出(动2) 湧き出る
包含/含有(动1) 含む
混浊/污浊(动1) 濁る
换/改变(动2) 変える
放松/松弛/轻松(动3) リラックスする
住宿/投宿(动3) 宿泊する
享受/欣赏(动1) 楽しむ
冲走/冲刷(动1) 流す
医治/治疗(动1) いやす
诞生/创作出/产生(动1) 生み出す
提高/抬高(动2) 高める
扩大/传播/遍及(动1) 広まる
推广/扩大(动2) 広める
强烈起来/强硬起来(动1) 強まる
