加强/增强(动2) 強める
变弱/衰弱(动1) 弱まる
弱化/减弱(动2) 弱める
加深/变深(动1) 深まる
冲淡/稀释/淡化(动2) 薄める
通过/穿过/穿通(动1) とおす
区分/区别(动3) 区別する
接受/采纳(动2) 受け入れる
抓住/掌握住(动1) つかむ
评价(动3) 評価する
关于/有关(动3) 関する
非常畅销/大受欢迎(动3) ヒットする
超过/超出(动1) 抜く
提供(动3) 提供する
高涨/提高(动1) 高まる
主演(动3) 主演する
公映/公开/开映/开放(动3) 公開する
获得(动3) 獲得する
登场/出场(动3) 登場する
追赶/紧接着/紧跟着(动2) 追いかける
向/朝/对(动2) 向ける
向/朝/适合/对路(动1) 向く
相关/有关(动3) 関連する
背叛/违背(动1) 裏切る
看到/看见(动2) 見かける
提高/抬高(动2) 上げる
同行/一起去(动3) 同行する
写/作/制作(动3) 作成する
宣布/公布/公开(动3) 披露する
改变/变更/更改(动3) 変更する
不一样/不同(动1) 異なる
投/扔/掷(动2) 投げる
解释/说明(动3) 解釈する
扔回去/投回去(动1) 投げ返す
保管/管理(动3) 保管する
听错/误听(动2) 聞き間違える
渗透/渗入(动3) 浸透する
独立(动3) 独立する
陈述/叙述/说明(动2) 述べる
后悔(动3) 後悔する
写错(动2) 書き間違える
说错(动2) 言い間違える
顶嘴/反复说(动1) 言い返す
反问/反复问(动1) 聞き返す
回想/反省/再考虑一番/重新考虑(动1) 思い返す
郑重其事/庄重(动1) 改まる
答应/接受/承担(动2) 引き受ける
遇见/碰上(动1) 出会う
醉/喝醉(动1) 酔う
减少(动3) 減少する
对/对于(动3) 対する
抑制/控制/节制(动2) 控える
牵涉/连接/排列(动1) つながる
发展/走向/追溯(动1) たどる
改善(动3) 改善する
留(头发)/拉长/延长(动1) 伸ばす
申诉/诉说/呼吁(动2) 訴える
帮助/援助/支持(动3) 援助する
工作/做事(动2) 勤める
问/打听(动1) 問う
选择(动3) 選択する
突破/冲破(动3) 突破する
焦急/急躁/着急(动1) 焦る
到东京去/进京(动3) 上京する
暖和/温暖(动1) 温まる
请客/做东/奢华(动1) おごる
烹饪/调理(动3) 調理する
放/搁/载/登载(动2) 載せる
就座/入座/就席(动3) 着席する
逮捕(动3) 逮捕する
使用(动3) 使用する
诊断/判断(动3) 診断する
隐藏/隐蔽(动1) 隠す
祝愿/祈求(动1) 祈る
断绝关系/断开/中断(动2) 切れる
分手/离别(动2) 別れる
邀请/招待/款待(动1) 招く
互相帮助/互助(动1) 助け合う
弄暖和/加热/加温(动2) 暖める
限于/只限/限定/限制(动1) 限る
举行(结婚)仪式(动3) 挙式する
占/占据/占领(动2) 占める
担任/当/扮演(动2) 務める
移动(动3) 移動する
支持(动3) 支持する
