治疗[治療] ちりょう
换/改变(动2)[変える] かえる
露天温泉/露天浴池[露天風呂] ろてんぶろ
满……/充分/足够(形2) たっぽり
浸泡/泡澡 つかる
放松/松弛/轻松(动3) リラックスする
住宿/投宿(动3)[宿泊する] しゅくはくする
洗浴设施[入浴施設] にゅうよくしせつ
当天往返[日帰り] ひがえり
洗浴/入浴[入浴] にゅうよく
设施/设备[施設] しせつ
公共澡堂/洗浴中心[銭湯] せんとう
时候/时期 ころ
超级洗浴中心 スーパーせんとう
按摩 マッサージ
美容/全身美容 エステ
享受/欣赏(动1)[楽しむ] たのしむ
一点点/有点/稍微 ちょっとした
安慰/享受/医治/治疗 いやし
～千万 せんまん
公交车站/车站/公共汽车站[停留所] ていりゅうじょ
正合适/恰好 びったり
溜滑/滑溜/光滑 つるつる
试验/实验[実験] じっけん
洪水[洪水] こうずい
冲走/冲刷(动1)[流す] ながす
牛排 ステーキ
菜/菜肴 おかず
完全/全然 まったく
范围[範囲] はんい
食品原材料[食材] しょくざい
松蘑/松茸[松茸] まつたけ
原因[原因] げんいん
医治/治疗(动1) いやす
香味/芳香[香り] かおり
～所/～站[～所] じょ
～年制[～年製] ねんせい
