(日程)紧张/紧密/困难/硬/坚固(形2) ハード
没有的事儿/哪里的话(形1) とんでもない
时装/时尚/流行 ファッション
观光胜地/旅游胜地[観光地] かんこうち
有马温泉[有馬温泉] ありまおんせん
放松/轻松/悠闲自在/悠然自得 のんびり
老板娘/女主人/女掌柜[女将] おかみ
承蒙关照[お世話になります] おせわになります
没有的事儿/哪儿的话 とんでもありません
感兴趣(短语) かんしんがある
～位/～名[～名様] めいさま
～餐[～食] しょく
～带～/付送～[～付き] つき
房间已满/无空房间/满员[満室] まんしつ
静养/安静(形2)[安静] あんせい
围裙 エプロン
清扫/扫除(动3)[清掃する] せいそうする
计划/安排/编制/编排(动1)[組む] くむ
偶然/碰巧 たまたま
一次/一遍/一度[一度] いちど
来(我)公司(动3)[来社する] らいしゃする
合作/协作/配合[協力する] きょうりょくする
瓶/坛/罐/缸 つぼ
试穿(动3)[試着する] しちゃくする
恭～/敬～(自谦)[～申し上げる] もうしあげる
大国/强国[大国] たいこく
全国[全国] ぜんこく
温泉胜地[温泉地] おんせんち
总计/共计[延べ] のべ
地下/地里[地中] ちちゅう
喷涌/喷出/涌出(动2)[湧き出る] わきでる
特定/规定[規定] きてい
包含/含有(动1)[含む] ふくむ
透明(形2)[透明] とうめい
混浊/污浊(动1)[濁る] にごる
神经痛[神経痛] しんけいつう
皮肤病[皮膚病] ひふびょう
高血压[高血圧] こうけつあつ
治疗[治療] ちりょう
换/改变(动2)[変える] かえる
露天温泉/露天浴池[露天風呂] ろてんぶろ
满……/充分/足够(形2) たっぽり
浸泡/泡澡 つかる
放松/松弛/轻松(动3) リラックスする
住宿/投宿(动3)[宿泊する] しゅくはくする
洗浴设施[入浴施設] にゅうよくしせつ
当天往返[日帰り] ひがえり
洗浴/入浴[入浴] にゅうよく
设施/设备[施設] しせつ
公共澡堂/洗浴中心[銭湯] せんとう
时候/时期 ころ
超级洗浴中心 スーパーせんとう
按摩 マッサージ
美容/全身美容 エステ
享受/欣赏(动1)[楽しむ] たのしむ
一点点/有点/稍微 ちょっとした
安慰/享受/医治/治疗 いやし
～千万 せんまん
公交车站/车站/公共汽车站[停留所] ていりゅうじょ
正合适/恰好 びったり
溜滑/滑溜/光滑 つるつる
试验/实验[実験] じっけん
洪水[洪水] こうずい
冲走/冲刷(动1)[流す] ながす
牛排 ステーキ
菜/菜肴 おかず
完全/全然 まったく
范围[範囲] はんい
食品原材料[食材] しょくざい
松蘑/松茸[松茸] まつたけ
原因[原因] げんいん
医治/治疗(动1) いやす
香味/芳香[香り] かおり
～所/～站[～所] じょ
～年制[～年製] ねんせい
