电视节目[テレビ番組] テレビばんぐみ
收视率[視聴率] しちょうりつ
获得(动3)[獲得する] かくとくする
后来/不久/大约 やがて
尖端/先进[先端] せんたん
电影院[映画館] えいがかん
屏幕/银幕/银屏 スクリーン
登场/出场(动3)[登場する] とうじょうする
娱乐[娯楽] ごらく
艺术[芸術] げいじゅつ
不断/接二连三/接踵而来[次々] つぎつぎ
千与千寻[千と千尋の神隠し] せんとちひろのかみかくし
热衷/入迷/沉醉(短语) むちゅうになる
不能相提并论/不可同日而语(短语) くらべものにならない
之后/其后[その後] そのご
适合～/面向～[向け] むけ
高～ こう
～率 りつ
～性 せい
～力 りょく
追赶/紧接着/紧跟着(动2)[追いかける] おいかける
景象/风景/情景[風景] ふうけい
截止/期限/届满[締め切り] しめきり
向/朝/对(动2)[向ける] むける
向/朝/适合/对路(动1)[向く] むく
枕头[枕] まくら
覆盖物/外皮/套子 カバー
相关/有关(动3)[関連する] かんれんする
手续[手続き] てつづき
专业书[専門書] せんもんしょ
德国 ドイツ
考察/视察[視察] しさつ
俄语 ロシア語
那家伙/那小子 あいつ
朋友/伙伴/同事[仲間] なかま
背叛/违背(动1)[裏切る] うらぎる
之后/其后 そのあと
看到/看见(动2)[見かける] みかける
公害[公害] こうがい
再发生/重新发作[再発] さいはつ
表情[表情] ひょうじょう
树叶[木の葉] このは
水槽/注水槽[水槽] すいそう
放映/上映[上映] じょうえい
名牌/品牌/牌子 ブランド
方便食品/速食 インスタントしょくひん
集中[集中] しゅうちゅう
说服[説得] せっとく
火力/火势[火力] かりょく
人力[人力] じんりょく
学力/学习实力[学力] がくりょく
提高/抬高(动2)[上げる] あげる
适合～[～向き] むき
