到底/终于 いよいよ
方言/地方话[方言] ほうげん
繁华区/繁华街/商业区[繫華街] はんかがい
同行/一起去(动3)[同行する] どうこうする
婚宴/喜宴[披露宴] ひろうえん
高兴地/非常愿意地[喜んで] よろこんで
你的意思是?怎么说?(短语) というと
听到(短语)[耳～] みみにする
有违您的好意/承蒙特意邀请/却……(短语) せっかくですけれど
算了/不用了(短语)[遠慮～] えんりょしておきます
恭喜/恭贺(短语) おめでとうございます
～方言/～口音[弁] べん
公用电话[公衆電話] こうしゅうでんわ
雷[雷] かみなり
挑剔/好恶[好き嫌い] すききらい
登山/爬山[山登り] やまのぼり
写/作/制作(动3)[作成する] さくせいする
宣布/公布/公开(动3)[披露する] ひろうする
改变/变更/更改(动3)[変更する] へんこうする
再/重新[改めて] あらためて
身体状况/健康状态[体調] たいちょう
看到/看见(短语)[目にする] めにする
按您所说/如您所说(短语)[言葉～] ことばにあまえる
通用语/普通话[共通語] きょうつうご
民族/种族[民族] みんぞく
不一样/不同(动1)[異なる] ことなる
语法[文法] ぶんぽう
声调/重音 アクセント
关西[関西] かんさい
误解/误会[誤解] ごかい
