投/扔/掷(动2)[投げる] なげる
解释/说明(动3)[解釈する] かいしゃくする
扔回去/投回去(动1)[投げ返す] なげかえす
保管/管理(动3)[保管する] ほかんする
听错/误听(动2)[聞き間違える] ききまちがえる
渗透/渗入(动3)[浸透する] しんとうする
～地区[～地方] ちほう
独立(动3)[独立する] どくりつする
陈述/叙述/说明(动2)[述べる] のべる
当天/当日[当日] とうじつ
应酬/接待[応対] おうたい
机场[飛行場] ひこうじょう
志愿者活动[～活動] かつどう
贝壳[貝殻] かいがら
长野县[長野県] ながのけん
(日本的)近畿地区[近畿] きんき
(日本的)中部地区[中部] ちゅうぶ
(日本的)中国地区[中国] ちゅうごく
(日本的)四国地区[四国] しこく
后悔(动3)[後悔する] こうかいする
写错(动2)[書き間違える] かきまちがえる
说错(动2)[言い間違える] いいまちがえる
顶嘴/反复说(动1)[言い返す] いいかえす
反问/反复问(动1)[聞き返す] ききかえす
回想/反省/再考虑一番/重新考虑(动1)[思い返す] おもいかえす
宿舍长[寮長] りょうちょう
关门时间[門限] もんげん
第～题/第～个问题[～問目] もんめ
各处/到处(短语) あちらこちら
