到底/终于 いよいよ
方言/地方话[方言] ほうげん
繁华区/繁华街/商业区[繫華街] はんかがい
同行/一起去(动3)[同行する] どうこうする
婚宴/喜宴[披露宴] ひろうえん
高兴地/非常愿意地[喜んで] よろこんで
你的意思是?怎么说?(短语) というと
听到(短语)[耳～] みみにする
有违您的好意/承蒙特意邀请/却……(短语) せっかくですけれど
算了/不用了(短语)[遠慮～] えんりょしておきます
恭喜/恭贺(短语) おめでとうございます
～方言/～口音[弁] べん
公用电话[公衆電話] こうしゅうでんわ
雷[雷] かみなり
挑剔/好恶[好き嫌い] すききらい
登山/爬山[山登り] やまのぼり
写/作/制作(动3)[作成する] さくせいする
宣布/公布/公开(动3)[披露する] ひろうする
改变/变更/更改(动3)[変更する] へんこうする
再/重新[改めて] あらためて
身体状况/健康状态[体調] たいちょう
看到/看见(短语)[目にする] めにする
按您所说/如您所说(短语)[言葉～] ことばにあまえる
通用语/普通话[共通語] きょうつうご
民族/种族[民族] みんぞく
不一样/不同(动1)[異なる] ことなる
语法[文法] ぶんぽう
声调/重音 アクセント
关西[関西] かんさい
误解/误会[誤解] ごかい
投/扔/掷(动2)[投げる] なげる
解释/说明(动3)[解釈する] かいしゃくする
扔回去/投回去(动1)[投げ返す] なげかえす
保管/管理(动3)[保管する] ほかんする
听错/误听(动2)[聞き間違える] ききまちがえる
渗透/渗入(动3)[浸透する] しんとうする
～地区[～地方] ちほう
独立(动3)[独立する] どくりつする
陈述/叙述/说明(动2)[述べる] のべる
当天/当日[当日] とうじつ
应酬/接待[応対] おうたい
机场[飛行場] ひこうじょう
志愿者活动[～活動] かつどう
贝壳[貝殻] かいがら
长野县[長野県] ながのけん
(日本的)近畿地区[近畿] きんき
(日本的)中部地区[中部] ちゅうぶ
(日本的)中国地区[中国] ちゅうごく
(日本的)四国地区[四国] しこく
后悔(动3)[後悔する] こうかいする
写错(动2)[書き間違える] かきまちがえる
说错(动2)[言い間違える] いいまちがえる
顶嘴/反复说(动1)[言い返す] いいかえす
反问/反复问(动1)[聞き返す] ききかえす
回想/反省/再考虑一番/重新考虑(动1)[思い返す] おもいかえす
宿舍长[寮長] りょうちょう
关门时间[門限] もんげん
第～题/第～个问题[～問目] もんめ
各处/到处(短语) あちらこちら
