诚恳/特意[折り入って] おりいって
郑重其事/庄重(动1)[改まる] あらたまる
自信/信心[自信] じしん
你[君] きみ
请求/信赖[頼み] たのみ
答应/接受/承担(动2)[引き受ける] ひきうける
也许/或许/可能1 もしかして
也许/或许/可能2 もしかすると
无论如何 どうしても
遇见/碰上(动1)[出会う] であう
装束/样子/姿态[格好] かっこう
装置/设备[装置] そうち
晚饭/晚餐[夕飯] ゆうはん
汉堡牛肉饼 ハンバーグ
醉/喝醉(动1)[酔う] よう
鱼贝类/鳞介类[魚介類] ぎょかいるい
不好意思(短语)[悪～] わるいけど
统计[統計] とうけい
减少(动3)[減少する] げんしょうする
现象[現象] げんしょう
趋势/倾向[傾向] けいこう
背景/背景形势[背景] はいけい
生孩子[出産] しゅっさん
育儿/抚育[育児] いくじ
对/对于(动3)[対する] たいする
晚婚[晩婚] ばんこん
抑制/控制/节制(动2)[控える] ひかえる
出生/诞生[出生] しゅっしょう
牵涉/连接/排列(动1) つながる
上涨/上升[上昇] じょうしょう
金额/数量[額] がく
房问题/住宅问题[住宅問題] じゅうたくもんだい
意愿/意志/意向[意志] いし
