不结婚/非婚/没结婚[非婚] ひこん
一年/年间/年代[年間] ねんかん
时间/光阴/年月/岁月[年月] ねんげつ
～时/～的时候[～時] じ
～数/～的数量[～数] すう
煤/煤炭[石炭] せきたん
唯一方向/唯一手段[一途] いっと
发展/走向/追溯(动1) たどる
日元贬值[円安] えんやす
进口食品[輸入食品] ゆにゅうしょくひん
价格上涨/涨价[値上がり] ねあがり
改善(动3)[改善する] かいぜんする
留(头发)/拉长/延长(动1)[伸ばす] のばす
算盘 そろばん
不景气/萧条[不況] ふきょう
长处/优点[長所] ちょうしょ
短处/弱点[短所] たんしょ
维修不良/维修状况差[整備不良] せいびふりょう
(道路)维修/整修/配备/配齐[整備] せいび
批判/批评/评论[批判] ひはん
谢意/礼仪/礼貌/礼节[礼] れい
申诉/诉说/呼吁(动2)[訴える] うったえる
帮助/援助/支持(动3)[援助する] えんじょする
体验/经验[体験] たいけん
每年[毎年] まいとし
天天/每天/日子[日々] ひび
月月/每月[月々] つきづき
情况/状况[状況] じょうきょう
收入/所得[収入] しゅうにゅう
德川家康[徳川家康] とくがわいえやす
～量[～量] りょう
不～/非～[不～] ふ
