诚恳/特意[折り入って] おりいって
郑重其事/庄重(动1)[改まる] あらたまる
自信/信心[自信] じしん
你[君] きみ
请求/信赖[頼み] たのみ
答应/接受/承担(动2)[引き受ける] ひきうける
也许/或许/可能1 もしかして
也许/或许/可能2 もしかすると
无论如何 どうしても
遇见/碰上(动1)[出会う] であう
装束/样子/姿态[格好] かっこう
装置/设备[装置] そうち
晚饭/晚餐[夕飯] ゆうはん
汉堡牛肉饼 ハンバーグ
醉/喝醉(动1)[酔う] よう
鱼贝类/鳞介类[魚介類] ぎょかいるい
不好意思(短语)[悪～] わるいけど
统计[統計] とうけい
减少(动3)[減少する] げんしょうする
现象[現象] げんしょう
趋势/倾向[傾向] けいこう
背景/背景形势[背景] はいけい
生孩子[出産] しゅっさん
育儿/抚育[育児] いくじ
对/对于(动3)[対する] たいする
晚婚[晩婚] ばんこん
抑制/控制/节制(动2)[控える] ひかえる
出生/诞生[出生] しゅっしょう
牵涉/连接/排列(动1) つながる
上涨/上升[上昇] じょうしょう
金额/数量[額] がく
房问题/住宅问题[住宅問題] じゅうたくもんだい
意愿/意志/意向[意志] いし
不结婚/非婚/没结婚[非婚] ひこん
一年/年间/年代[年間] ねんかん
时间/光阴/年月/岁月[年月] ねんげつ
～时/～的时候[～時] じ
～数/～的数量[～数] すう
煤/煤炭[石炭] せきたん
唯一方向/唯一手段[一途] いっと
发展/走向/追溯(动1) たどる
日元贬值[円安] えんやす
进口食品[輸入食品] ゆにゅうしょくひん
价格上涨/涨价[値上がり] ねあがり
改善(动3)[改善する] かいぜんする
留(头发)/拉长/延长(动1)[伸ばす] のばす
算盘 そろばん
不景气/萧条[不況] ふきょう
长处/优点[長所] ちょうしょ
短处/弱点[短所] たんしょ
维修不良/维修状况差[整備不良] せいびふりょう
(道路)维修/整修/配备/配齐[整備] せいび
批判/批评/评论[批判] ひはん
谢意/礼仪/礼貌/礼节[礼] れい
申诉/诉说/呼吁(动2)[訴える] うったえる
帮助/援助/支持(动3)[援助する] えんじょする
体验/经验[体験] たいけん
每年[毎年] まいとし
天天/每天/日子[日々] ひび
月月/每月[月々] つきづき
情况/状况[状況] じょうきょう
收入/所得[収入] しゅうにゅう
德川家康[徳川家康] とくがわいえやす
～量[～量] りょう
不～/非～[不～] ふ
