恩师/老师[恩師] おんし
后藤[後藤] ごとう
福建省[福建省] ふっけんしょう
广告公司[広告代理店] こうこくだいりてん
值得做/做的价值 やりがい
金子[金子] かねこ
高桥[高橋] たかはし
旅行社/旅游代理公司[旅行代理店] りょこうだいりてん
工作/做事(动2)[勤める] つとめる
行了行了(短语) まあまあ
待会儿/放在后面/推后(短语)[後～] あとにする
一点小意思/不是什么值钱的东西(短语) つまらないですが
费心/用心/留意/顾虑(短语)[気～] きをつかう
不讲理/提出无理要求(短语)[無理～] むりをいう
～的意义/～的价值 がい
机会/机遇 チャンス
大晴天/晴朗/好天气[快晴] かいせい
尊夫人/(您)太太[奥様] おくさま
有人在家吗(短语) ごめんください
欢迎光临(短语) よくいらっしゃいました
一点点心意(短语)[～の気持ち～] ほんのきもちですが
合口味(短语)[口～] くちにあう
不知道合不合您的口味(短语) おくちにあうかどうかわかりませんが
没什么招待您的(短语) なんのおかまいもできませんで
时间还早嘛/不是还早吗(短语) まだいいじゃありませんか
好意/美意[好意] こうい
幸福/幸运/侥幸(形2)[幸せ] しあわせ
浪费/徒劳(短语)[無駄～] むだにする
求职活动[就職活動] しゅうしょくかつどう
志愿动机/志愿理由[志望動機] しぼうどうき
自我宣传[自己ＰＲ] じこピーアール
简历/履历[履歴書] りれきしょ
就照原样/就那样 そのまま
录用考试[採用試験] さいようしけん
整洁/干净/清洁[清潔] せいけつ
服装[服装] ふくそう
