一部分[一部] いちぶ
学期[学期] がっき
求职服装/求职套装 リクルートスーツ
打扮/装束/姿态/姿势[姿] すがた
时候/时机[際] さい
男女[男女] だんじょ
问/打听(动1)[問う] とう
黑色/黑[黒] くろ
藏青/深蓝[紺] こん
灰色/暗淡[灰色] はいいろ
冰河期[氷河期] ひょうがき
职业种类[職種] しょくしゅ
汽车公司[自動車～] じどうしゃメーカー
极/最/非常 ごく
选择(动3)[選択する] せんたくする
报名/申请/提议[申し込み] もうしこみ
突破/冲破(动3)[突破する] とっぱする
内定[内定] ないてい
尽可能(短语)[少し～] すこしでも
～次/～回 じ
漱口 うがい
洗手[手洗い] てあらい
焦急/急躁/着急(动1)[焦る] あせる
到东京去/进京(动3)[上京する] じょうきょうする
欢送会[お別れ会] おわかれかい
事先/事前[事前] じぜん
昼夜[昼夜] ちゅうや
性别[性別] せいべつ
交货时间/缴纳期限[納期] のうき
茶色(形1)[茶色い] ちゃいろい
灰色/鼠色 グレー
黑色/黑 ブラック
少量[少量] しょうりょう
微量[微量] びりょう
大量[多量] たいりょう
价值[価値] かち
