恩师/老师[恩師] おんし
后藤[後藤] ごとう
福建省[福建省] ふっけんしょう
广告公司[広告代理店] こうこくだいりてん
值得做/做的价值 やりがい
金子[金子] かねこ
高桥[高橋] たかはし
旅行社/旅游代理公司[旅行代理店] りょこうだいりてん
工作/做事(动2)[勤める] つとめる
行了行了(短语) まあまあ
待会儿/放在后面/推后(短语)[後～] あとにする
一点小意思/不是什么值钱的东西(短语) つまらないですが
费心/用心/留意/顾虑(短语)[気～] きをつかう
不讲理/提出无理要求(短语)[無理～] むりをいう
～的意义/～的价值 がい
机会/机遇 チャンス
大晴天/晴朗/好天气[快晴] かいせい
尊夫人/(您)太太[奥様] おくさま
有人在家吗(短语) ごめんください
欢迎光临(短语) よくいらっしゃいました
一点点心意(短语)[～の気持ち～] ほんのきもちですが
合口味(短语)[口～] くちにあう
不知道合不合您的口味(短语) おくちにあうかどうかわかりませんが
没什么招待您的(短语) なんのおかまいもできませんで
时间还早嘛/不是还早吗(短语) まだいいじゃありませんか
好意/美意[好意] こうい
幸福/幸运/侥幸(形2)[幸せ] しあわせ
浪费/徒劳(短语)[無駄～] むだにする
求职活动[就職活動] しゅうしょくかつどう
志愿动机/志愿理由[志望動機] しぼうどうき
自我宣传[自己ＰＲ] じこピーアール
简历/履历[履歴書] りれきしょ
就照原样/就那样 そのまま
录用考试[採用試験] さいようしけん
整洁/干净/清洁[清潔] せいけつ
服装[服装] ふくそう
一部分[一部] いちぶ
学期[学期] がっき
求职服装/求职套装 リクルートスーツ
打扮/装束/姿态/姿势[姿] すがた
时候/时机[際] さい
男女[男女] だんじょ
问/打听(动1)[問う] とう
黑色/黑[黒] くろ
藏青/深蓝[紺] こん
灰色/暗淡[灰色] はいいろ
冰河期[氷河期] ひょうがき
职业种类[職種] しょくしゅ
汽车公司[自動車～] じどうしゃメーカー
极/最/非常 ごく
选择(动3)[選択する] せんたくする
报名/申请/提议[申し込み] もうしこみ
突破/冲破(动3)[突破する] とっぱする
内定[内定] ないてい
尽可能(短语)[少し～] すこしでも
～次/～回 じ
漱口 うがい
洗手[手洗い] てあらい
焦急/急躁/着急(动1)[焦る] あせる
到东京去/进京(动3)[上京する] じょうきょうする
欢送会[お別れ会] おわかれかい
事先/事前[事前] じぜん
昼夜[昼夜] ちゅうや
性别[性別] せいべつ
交货时间/缴纳期限[納期] のうき
茶色(形1)[茶色い] ちゃいろい
灰色/鼠色 グレー
黑色/黑 ブラック
少量[少量] しょうりょう
微量[微量] びりょう
大量[多量] たりょう
价值[価値] かち
