这边/这里 こっち
哎呀/啊/呀 やあ
一点儿(也不)/毫(无) ちっとも
此外/另外/顺便说一句 それはそうと
推荐品 おすすめ
鸡肉时蔬火锅/鸡肉汆锅[水炊き] みずたき
鸡肉[とり肉] とりにく
暖和/温暖(动1)[温まる] あたたまる
好/对 よし
拼盘(菜)[盛り合わせ] もりあわせ
章鱼 タコ
豆腐[豆腐] とうふ
萝卜[大根] だいこん
鸡尾酒/混合酒 カクテル
是啊(短语) そうだなあ
～人份儿/～份儿[～人前] にんまえ
无烟席/禁烟席/禁烟区[禁煙席] きんえんせき
炒面[焼きそば] やきそば
炒饭 チャーハン
结帐/付款/会计[会計] かいけい
AA制/分摊费用/均摊费用[割り勘] わりかん
请客/做东/奢华(动1) おごる
那边/那里(近) そっち
那边/那里(远) あっち
哪边/哪里 どっち
喂喂/哎哎 ねえねえ
老虎/虎[虎] とら
一点也(不) すこしも
生意/买卖[商売] しょうばい
口红[口紅] くちべに
火锅[鍋物] なべもの
羊/绵羊[羊] ひつじ
涮锅/涮(牛羊肉片)火锅 しゃぶしゃぶ
请再次光临/欢迎再来(短语) またおこしください
专卖店[専門店] せんもんてん
汉堡包 ハンバーガー
