意大利面条/意大利面食类 パスタ
多种多样/各式各样(形2)[多様] たよう
湿巾(平仮名) おしぼり
免费[無料] むりょう
菜单/菜谱 メニュー
烹饪/调理(动3)[調理する] ちょうりする
放/搁/载/登载(动2)[載せる] のせる
他人盖饭/猪(牛)肉鸡蛋盖饭[他人丼] たにんどん
猪肉[豚肉] ぶたにく
父母和子女[親子] おやこ
他人/别人[他人] たにん
狐狸乌冬面/油炸豆腐乌冬面[狐～] キツネうどん
绝对(不)/决(不)/断然(不)[決して] けっして
狐狸 キツネ
油炸豆腐/油炸食品[油揚げ] あぶらあげ
爱吃的东西[好物] こうぶつ
～店 てん
就座/入座/就席(动3)[着席する] ちゃくせきする
总理/首相[総理大臣] そうりだいじん
国会[国会] こっかい
湿纸巾(片仮名) ウエットティッシュ
菜刀[包丁] ほうちょう
违反/违背[違反] いはん
逮捕(动3)[逮捕する] たいほする
使用(动3)[使用する] しようする
答案/回答[答案] とうあん
白纸/空白纸/原始状态[白紙] はくし
诊断/判断(动3)[診断する] しんだんする
亲戚/亲属[親戚] しんせき
亲戚/自己家[我が家] わがや
资源性垃圾/再生性垃圾[資源～] しげんごみ
贫困/贫穷/贫乏[貧困] ひんこん
生产过剩[過剰生産] かじょうせいさん
赤字/红字[赤字] あかじ
谎言/假话 うそ
隐藏/隐蔽(动1)[隠す] かくす
手术[手術] しゅじゅつ
～组[～組] くみ
