帅气/真帅/真棒(形1) かっこいい
担任/当/扮演(动2)[務める] つとめる
刺/(说话)尖酸/带刺 とげ
毒/毒物[毒] どく
有效(形2)[有効] ゆうこう
内向(形2)[内向的] ないこうてき
活泼/活跃(形2)[活発] かっぱつ
外向(形2)[外向的] がいこうてき
平均[平均] へいきん
寿命[寿命] じゅみょう
重症患者/重病患者/重病号[重病人] じゅうびょうにん
移动(动3)[移動する] いどうする
幼小/年幼/幼稚(形1)[幼い] おさない
好朋友/好友/密友/至交[親友] しんゆう
我公司/本公司[我が社] わがしゃ
干部/干事/董事[役員] やくいん
质量/质/本质[質] しつ
长时间[長時間] ちょうじかん
年收入/年薪[年収] ねんしゅう
印度 インド
现实[現実] げんじつ
单口相声[落語] らくご
记者/编辑/通讯员 ジャーナリスト
选举[選挙] せんきょ
青森县[青森県] あおもりけん
特产[特産] とくさん
全体/全部[全体] ぜんたい
政党[政党] せいとう
支持(动3)[支持する] しじする
多数[多数] たすう
半数/一半[半数] はんすう
～品/～产品/～商品[～品] ひん
