成果/成就[成果] せいか
以上/超出[以上] いじょう
一个例子[一例] いちれい
恭维话/奉承话[お世辞] おせじ
国内[国内] こくない
销售/促销/推销(动1)[売り込む] うりこむ
战略[戦略] せんりゃく
试饮(动3)[試飲する] しいんする
敏感/灵敏(形2)[敏感] びんかん
当中/之间/期间[間] あいだ
了不起的/惊人的 たいした
标签 ラベル
～们(自谦语) ども
出乎意料/意外(形2)[意外] いがい
没想到/出乎意外[案外] あんがい
聪明/伶俐(形1)[賢い] かしこい
概要/概略/梗概[概略] がいりゃく
一本正经/郑重其事(形1)[堅苦しい] かたくるしい
台湾[台湾] たいわん
温暖(形2)[温暖] おんだん
气候[気候] きこう
跳入/跳进(动1)[飛び込む] とびこむ
抛/扔/放弃/弃之不顾(动1)[放る] ほうる
投进/投入/扔进(动1)[投げ込む] なげこむ
扔进/投入(动1)[放り込む] ほうりこむ
带入/带进(动1)[持ち込む] もちこむ
流入/流进(动1)[流れ込む] ながれこむ
潜入/钻入/躲入(动1)[潜り込む] もぐりこむ
掉进/掉入(动1)[落ち込む] おちこむ
少年[少年] しょうねん
学到东西/有收获(短语)[勉強になる] べんきょうになる
名～/著名～[名] めい
～进/～入[～込む] こむ
景山公园[景山公園] けいざんこうえん
休憩/休息[憩い] いこい
一对儿/情侣 カップル
带着家人/带着家属[家族連れ] かぞくづれ
周围[周囲] しゅうい
小巷/胡同[路地] ろじ
无数[無数] むすう
存在(动3)[存在する] そんざいする
追溯/上溯(动1) さかのぼる
元代/元朝[元] げん
敌人/敌/对手/敌手[敵] てき
石墙/石围墙/石垣[石垣] いしがき
住宅/住处/居住地/住址[住居] じゅうきょ
围绕/包围/围拢(动1)[取り囲む] とりかこむ
早市/早摊[朝市] あさいち
频繁(形2)[頻繁] ひんぱん
地摊/货摊[屋台] やたい
有时[時には] ときには
自行车存放处[自転車置き場] じてんしゃおきば
银钱/钱/金钱/钱款[金銭] きんせん
交易所[取引所] とりひきじょ
刀/刀具[刃物] はもの
磨快/磨光亮/淘(动1)[研ぐ] とぐ
工匠/手艺人[職人] しょくにん
四合院[四合院] しごういん
房屋/住房[家屋] かおく
东南西北[東西南北] とうざいなんぼく
屋脊/房顶/大梁/脊檩[棟] むね
改造/改建/改组(动3)[改造する] かいぞうする
最多/充其量/尽量/尽可能 せいぜい
明代/明朝[明] みん
连接/拴/系(动1) つなぐ
动向/动作[動き] うごき
历史文物保护区[歴史文化保護区] れきしぶんかほごく
指定(动3)[指定する] していする
保存(动3)[保存する] ほぞんする
并存/混在一起(动3)[混在する] こんざいする
变革/改革/变化[変革] へんかく
～处/～个地方[～か所] かしょ
带着～[～連れ] づれ
相当大年龄/年纪[年配] ねんぱい
旅行/旅游[旅] たび
夜空[夜空] よぞら
仰望/往上看(动2)[見上げる] みあげる
先祖/祖先[先祖] せんぞ
东南[南東] なんとう
西北[北西] ほくせい
东北[北東] ほくとう
南西[南西] なんせい
东南[東南] とうなん
东南亚[東南～] 東南アジア
角/角落[方角] ほうがく
报名参加/应征/应募(动3)[応募する] おうぼする
苏州[蘇州] そしゅう
威尼斯 ベニス
骄傲/自豪/自尊心[誇り] ほこり
雕刻/雕/刻(动1)[彫る] ほる
眼看就要/马上[今にも] いまにも
抓住/逮捕(动1)[捕まる] つかまる
枪/步枪[銃] じゅう
自杀(动3)[自殺する] じさつする
笼子/篮子/提篮 かご
墙/院墙/围墙/栅栏[塀] へい
地平线[地平線] ちへいせん
泉/泉水[泉] いずみ
