有时[時には] ときには
自行车存放处[自転車置き場] じてんしゃおきば
银钱/钱/金钱/钱款[金銭] きんせん
交易所[取引所] とりひきじょ
刀/刀具[刃物] はもの
磨快/磨光亮/淘(动1)[研ぐ] とぐ
工匠/手艺人[職人] しょくにん
四合院[四合院] しごういん
房屋/住房[家屋] かおく
东南西北[東西南北] とうざいなんぼく
屋脊/房顶/大梁/脊檩[棟] むね
改造/改建/改组(动3)[改造する] かいぞうする
最多/充其量/尽量/尽可能 せいぜい
明代/明朝[明] みん
连接/拴/系(动1) つなぐ
动向/动作[動き] うごき
历史文物保护区[歴史文化保護区] れきしぶんかほごく
指定(动3)[指定する] していする
保存(动3)[保存する] ほぞんする
并存/混在一起(动3)[混在する] こんざいする
变革/改革/变化[変革] へんかく
～处/～个地方[～か所] かしょ
带着～[～連れ] づれ
相当大年龄/年纪[年配] ねんぱい
旅行/旅游[旅] たび
夜空[夜空] よぞら
仰望/往上看(动2)[見上げる] みあげる
先祖/祖先[先祖] せんぞ
东南[南東] なんとう
西北[北西] ほくせい
东北[北東] ほくとう
南西[南西] なんせい
东南[東南] とうなん
东南亚[東南～] 東南アジア
角/角落[方角] ほうがく
报名参加/应征/应募(动3)[応募する] おうぼする
苏州[蘇州] そしゅう
威尼斯 ベニス
骄傲/自豪/自尊心[誇り] ほこり
雕刻/雕/刻(动1)[彫る] ほる
眼看就要/马上[今にも] いまにも
抓住/逮捕(动1)[捕まる] つかまる
枪/步枪[銃] じゅう
自杀(动3)[自殺する] じさつする
笼子/篮子/提篮 かご
墙/院墙/围墙/栅栏[塀] へい
地平线[地平線] ちへいせん
泉/泉水[泉] いずみ
