销售/推销[売り込み] うりこみ
老实/诚实(形2)[正直] しょうじき
白酒[白酒] はくしゅ
基础/基准/基地 ベース
不过瘾/不够/不足(短语)[物足りない] ものたりない
本～/这～[当～] とう
蔽～/鄙～[幣～] へい
坦率/直率/直爽(形2)[率直] そっちょく
数据/资料/材料/论据 データ
很感兴趣/颇有意思(形1)[興味深い] きょうみぶかい
卖完/售完/售罄[売り切れ] うりきれ
话虽如此/可是/不过 もっとも
限度/极限/止境[限り] かぎり
农历/阴历[旧暦] きゅうれき
公历/阳历[新暦] しんれき
旱田/旱地[畑] はたけ
失业者[失業者] しつぎょうしゃ
操作/工作/作业[作業] さぎょう
失误/错误 ミス
故障[故障] こしょう
敝公司/小公司[小社] しょうしゃ
信息/消息/情报[情報] じょうほう
环保/生态学 エコロジー
宗旨/概念 コンセプト
材料/素材[素材] そざい
笔/毛笔[筆] ふで
中意/合意[お気に召す] おきにめす
北上贸易公司[北上貿易] きたかみぼうえき
德荣[徳栄] とくえい
敬启者[拝啓] はいけい
诸位/各位/大家[皆様] みなさま
打算/想/知道/认识(动3)[存ずる] ぞんずる
失礼/失敬/告辞[失礼] しつれい
原谅/宽恕/允许/容许(动1)[許す] ゆるす
贵公司/贵社[御社] おんしゃ
酒类[酒類] しゅるい
营销渠道/销售渠道[販売～] 販売ルート
菊池[菊池] きくち
改日/将来/日后/事后[後日] ごじつ
时/时候[折] おり
任意/随便(形2)[勝手] かって
敬上/谨启[敬具] けいぐ
光一[光一] こういち
