黑田[黒田] くろだ
索要/请求/要求/索取(动3)[請求する] せいきゅうする
由衷/实在/诚然/的确/非常 まことに
寄送/发送/寄出(动3)[送付する] そうふする
另外/再者/而且 なお
不清楚/不明确/不明白(形2)[不明] ふめい
轻松愉快/爽快/舒畅(形2)[気軽] きがる
询问/问/打听(动2)[問い合わせる] といあわせる
时值新春/新春的问候[新春の候] しんしゅんのこう
拜会/见面/会见[お目にかかる] おめにかかる
～的问候[の候] のこう
贵～[御～] おん
吉日/好日子[吉日] きちじつ
元旦[元旦] がんたん
(公函)启/公启[御中] おんちゅう
嫩叶/新叶[若葉] わかば
春暖[春暖] しゅんだん
绿叶[青葉] あおば
凉风/清风[涼風] りょうふう
保重/自己珍重[ご自愛] ごじあい
更加/越发/更/一层[一層] いっそう
封/缄 しめ
委员[委員] いいん
目击者[目撃者] もくげきしゃ
研究所[研究所] けんきゅうじょ
进化[進化] しんか
贵公司/贵社[貴社] きしゃ
贵行[御行] おんこう
贵行[貴行] きこう
贵校[貴校] きこう
本公司/本社/该公司[当社] とうしゃ
帐单/付款通知单[請求書] せいきゅうしょ
后天[明後日] みょうごにち
闪闪发光(形2) ぴかぴか
展品[展示品] てんじひん
时节/时候/时期[節] せつ
朱[朱] しゅ
抱歉/对不起/过意不去[恐縮] きょうしゅく
午餐/午饭[昼食] ちゅうしょく
合并(动3)[合併する] がっぺいする
游戏厅/游戏中心 ゲームセンター
柜台/服务台 カウンター
出示/给人看[お目にかける] おめにかける
～先生/～台启[殿] どの
寄给～/送给～[宛て] あて
