抱怨/不满/投诉/索赔 クレーム
裂痕/皴/皲裂 ひび
生气/怒/愤怒/气愤[怒り] いかり
有道理/合理/正当/理所当然(形2) もっとも
大发脾气/大怒/(太阳)火辣辣/(火)熊熊 かんかん
道歉/赔罪/表示歉意[お詫び] おわび
特意/故意 わざわざ
怎么回事(短语) どういったこと
出现裂痕/存在裂痕(短语) ひびがはいる
无论如何/想方设法/千方百计[何とか] なんとか
～之中/～当中[～中] ちゅう
一……就……[～次第] しだい
贷款/价款[代金] だいきん
照原样[元通り] もとどおり
消息/通知[知らせ] しらせ
纸币[紙幣] しへい
高价/价高(形2)[高価] こうか
濑户内海[瀬戸内海] せとないかい
洋酒/西洋酒[洋酒] ようしゅ
绕道/绕远(动3)[遠回りする] とおまわりする
骨头/骨骼[骨] ほね
烦恼/苦恼(动1)[悩む] なやむ
肩膀/肩[肩] かた
口罩/面具 マスク
花子[花子] はなこ
绝交(动3)[絶交する] ぜっこうする
反省/反思(动3)[反省する] はんせいする
完成/完毕(动3)[完了する] かんりょうする
留级(动3)[留年する] りゅうねんする
领事[領事] りょうじ
石头/石块[石] いし
空罐[空き缶] あきかん
照射的阳光/阳光照射[日差し] ひざし
暴晒/毒晒(动2)[照りつける] てりつける
故意/特意/有意 わざと
捉弄/使坏/恶作剧(形2)[意地悪] いじわる
重做(动1)[やり直す] やりなおす
完成/做成(动2)[仕上げる] しあげる
自来水[水道水] すいどうすい
代名词/代词[代名詞] だいめいし
霉/霉菌 かび
不满/怨言/抱怨[苦情] くじょう
水利局/自来水公司[水道局] すいどうきょく
净化器/净水器[浄水器] じょうすいき
然而/可是/不过 ところが
都政府[都庁] とちょう
大/大型[大手] おおて
饮料公司[飲料～] 飲料メーカー
矿泉水 ミネラルウォーター
都/首都[都] と
东京水[東京水] とうきょうすい
原材料/原料[原材料] げんざいりょう
整个东京都内/东京都中心区[都内] とない
净水厂[浄水場] じょうすいじょう
处理/解决(动3)[処理する] しょりする
装到/装满/填满/挤紧(动2)[詰める] つめる
