蓄水池[貯水池] ちょすいち
河流/河川[河川] かせん
水质[水質] すいしつ
净水处理设施[浄水処理施設] じょうすいしょりしせつ
葛饰区[葛飾区] かつしかく
臭氧 オゾン
活性炭[活性炭] かっせいたん
微生物[微生物] びせいぶつ
去除/除去(动1)[取り除く] とりのぞく
蓄水罐[貯水槽] ちょすいそう
自来水管道[水道管] すいどうかん
措施/对策[対策] たいさく
随着/伴随/跟随/符合(动1)[伴う] ともなう
水源[水源] すいげん
地面[地面] じめん
落叶[落ち葉] おちば
通过(动3)[通過する] つうかする
土壤/土/土地[土] つち
渗进/渗透/浸入(动1)[染み込む] しみこむ
泥砂/沙土[土砂] どしゃ
每～/各～[～ずつ] ずつ
观众/收视者[視聴者] しちょうしゃ
词典/辞典[辞典] じてん
擅自/私自/自作主张[無断] むだん
天/天空/天国/天命[天] てん
地/土地/地球/地面/陆地[地] ち
议会[議会] ぎかい
法案[法案] ほうあん
预算案[予算案] よさんあん
通过(动3)[可決する] かけつする
绿化[緑化] りょくか
冷战[冷戦] れいせん
结束/终结[終結] しゅうけつ
重视/强调(动3)[強調する] きょうちょうする
电灯[電灯] でんとう
旗帜/旗[旗] はた
责任[責任] せきにん
各国[各国] かっこく
争端/纷争/纠纷[紛争] ふんそう
向着/朝着(动1)[目指す] めざす
机构/机关[機関] きかん
原则[原則] げんそく
零下/负/负面 マイナス
暴风雪[吹雪] ふぶき
观测[観測] かんそく
继续(动3)[継続する] けいぞくする
原材料/原料[原料] げんりょう
铁[鉄] てつ
铁矿石[鉄鉱石] てっこうせき
依靠/依赖(动1)[頼る] たよる
哲学[哲学] てつがく
木匠[大工] だいく
偷窃[盗み] ぬすみ
可耻/没出息(形1)[情けない] なさけない
医生/医师[医師] いし
照顾/关照/照料[世話をする] せわをする
