抱怨/不满/投诉/索赔 クレーム
裂痕/皴/皲裂 ひび
生气/怒/愤怒/气愤[怒り] いかり
有道理/合理/正当/理所当然(形2) もっとも
大发脾气/大怒/(太阳)火辣辣/(火)熊熊 かんかん
道歉/赔罪/表示歉意[お詫び] おわび
特意/故意 わざわざ
怎么回事(短语) どういったこと
出现裂痕/存在裂痕(短语) ひびがはいる
无论如何/想方设法/千方百计[何とか] なんとか
～之中/～当中[～中] ちゅう
一……就……[～次第] しだい
贷款/价款[代金] だいきん
照原样[元通り] もとどおり
消息/通知[知らせ] しらせ
纸币[紙幣] しへい
高价/价高(形2)[高価] こうか
濑户内海[瀬戸内海] せとないかい
洋酒/西洋酒[洋酒] ようしゅ
绕道/绕远(动3)[遠回りする] とおまわりする
骨头/骨骼[骨] ほね
烦恼/苦恼(动1)[悩む] なやむ
肩膀/肩[肩] かた
口罩/面具 マスク
花子[花子] はなこ
绝交(动3)[絶交する] ぜっこうする
反省/反思(动3)[反省する] はんせいする
完成/完毕(动3)[完了する] かんりょうする
留级(动3)[留年する] りゅうねんする
领事[領事] りょうじ
石头/石块[石] いし
空罐[空き缶] あきかん
照射的阳光/阳光照射[日差し] ひざし
暴晒/毒晒(动2)[照りつける] てりつける
故意/特意/有意 わざと
捉弄/使坏/恶作剧(形2)[意地悪] いじわる
重做(动1)[やり直す] やりなおす
完成/做成(动2)[仕上げる] しあげる
自来水[水道水] すいどうすい
代名词/代词[代名詞] だいめいし
霉/霉菌 かび
不满/怨言/抱怨[苦情] くじょう
水利局/自来水公司[水道局] すいどうきょく
净化器/净水器[浄水器] じょうすいき
然而/可是/不过 ところが
都政府[都庁] とちょう
大/大型[大手] おおて
饮料公司[飲料～] 飲料メーカー
矿泉水 ミネラルウォーター
都/首都[都] と
东京水[東京水] とうきょうすい
原材料/原料[原材料] げんざいりょう
整个东京都内/东京都中心区[都内] とない
净水厂[浄水場] じょうすいじょう
处理/解决(动3)[処理する] しょりする
装到/装满/填满/挤紧(动2)[詰める] つめる
蓄水池[貯水池] ちょすいち
河流/河川[河川] かせん
水质[水質] すいしつ
净水处理设施[浄水処理施設] じょうすいしょりしせつ
葛饰区[葛飾区] かつしかく
臭氧 オゾン
活性炭[活性炭] かっせいたん
微生物[微生物] びせいぶつ
去除/除去(动1)[取り除く] とりのぞく
蓄水罐[貯水槽] ちょすいそう
自来水管道[水道管] すいどうかん
措施/对策[対策] たいさく
随着/伴随/跟随/符合(动1)[伴う] ともなう
水源[水源] すいげん
地面[地面] じめん
落叶[落ち葉] おちば
通过(动3)[通過する] つうかする
土壤/土/土地[土] つち
渗进/渗透/浸入(动1)[染み込む] しみこむ
泥砂/沙土[土砂] どしゃ
每～/各～[～ずつ] ずつ
观众/收视者[視聴者] しちょうしゃ
词典/辞典[辞典] じてん
擅自/私自/自作主张[無断] むだん
天/天空/天国/天命[天] てん
地/土地/地球/地面/陆地[地] ち
议会[議会] ぎかい
法案[法案] ほうあん
预算案[予算案] よさんあん
通过(动3)[可決する] かけつする
绿化[緑化] りょくか
冷战[冷戦] れいせん
结束/终结[終結] しゅうけつ
重视/强调(动3)[強調する] きょうちょうする
电灯[電灯] でんとう
旗帜/旗[旗] はた
责任[責任] せきにん
各国[各国] かっこく
争端/纷争/纠纷[紛争] ふんそう
向着/朝着(动1)[目指す] めざす
机构/机关[機関] きかん
原则[原則] げんそく
零下/负/负面 マイナス
暴风雪[吹雪] ふぶき
观测[観測] かんそく
继续(动3)[継続する] けいぞくする
原材料/原料[原料] げんりょう
铁[鉄] てつ
铁矿石[鉄鉱石] てっこうせき
依靠/依赖(动1)[頼る] たよる
哲学[哲学] てつがく
木匠[大工] だいく
偷窃[盗み] ぬすみ
可耻/没出息(形1)[情けない] なさけない
医生/医师[医師] いし
照顾/关照/照料[世話をする] せわをする
