相遇[出会い] であい
获得帮助/得救(动1)[助かる] たすかる
完全/彻底 すっかり
街道/城镇[街] まち
变化[変化] へんか
跟上/跟上去(动1) ついていく
高层[高層] こうそう
一带/附近[辺] へん
纽约 ニューヨーク
对不起[失礼短语] しつれいですが
感觉/觉得[短语] かんじがします
调动工作/调换工作地点[短语] てんきんになる
私营铁路[私鉄] してつ
公营[公営] こうえ
略/简略[略] りゃく
国营[国営] こくえい
民营[民営] みんえい
线路[路線] ろせん
主要(形2)[主要] しゅよう
城市/都市[都市] とし
时速[時速] じそく
东海道[東海道] とうかいどう
山阳[山陽] さんよう
东北[東北] とうほく
九州[九州] きゅうしゅう
延伸/延长(动2)[延びる] のびる
民间[民間] みんかん
经营(动3)[経営する] けいえいする
另外/又/再/也 また
地方自治团体[地方自治体] ちほうじちたい
实用[実用] じつよう
运行[運行] うんこう
方向[方向] ほうこう
表示/表现/表达(动1)[表す] あらわす
上/上行[上り] のぼり
下/下行[下り] くだり
本州[本州] ほんしゅう
地方[地方] ちほう
方向/方面[方面] ほうめん
这样的 こんな
谜语 なぞなぞ
回答/答案[答え] こたえ
