灯/光线/灯光[灯] ひ
考虑问题/心事/担心事[考え事] かんがえごと
解约/解除合同/废约(动3)[解約する] かいやくする
气馁/消沉/颓丧/扭/挫伤(动2) くじける
谚语 ことわざ
景色[景色] けしき
垂头丧气/无精打采 しょんぼり
形象代言人 イメージキャラクター
总是～/净是～/满是～ だらけ
百折不挠/百折不回[七転び八起き] ななころびやおき
觉得奇怪[変に思う] へんにおもう
茶杯[湯飲み] ゆのみ
心事[心配事] しんぱいごと
撞/轧(动1) ひく
熟睡/酣睡 ぐっすり
越发/更加[一段と] いちだんと
证据[証拠] しょうこ
打分/判分/判卷(动3)[採点する] さいてんする
泥/稀泥/小偷[泥] どろ
终于/未了/直到最后 ついに
交涉/沟通[交渉] こうしょう
进展/前进(动3)[前進する] ぜんしんする
发车/开车(动3)[発車する] はっしゃする
紧急停车(动3)[急停車する] きゅうていしゃする
赶快地/麻利/快速/赶紧 さっさと
苦心/费心(动3)[苦心する] くしんする
站起来(动1)[立ち上がる] たちあがる
母亲/妈妈[母親] ははおや
打发出去(买东西、办事等)[お使い] おつかい
追加(动3)[追加する] ついかする
形象代言人/登场人物/性格/性质 キャラクター
最近/近来[近頃] ちかごろ
模仿/模拟 まね
垃圾站/垃圾场[ゴミ捨て場] ごみすてば
钻石/金刚石 ダイヤモンド
一寸光阴一寸金/时间就是金钱[時は金なり] ときはかねなり
好事不宜迟[善は急げ] ぜんはいそげ
拳法/拳术[拳法] けんぽう
就是/即/就是说/总之/究竟 つまり
战斗/斗争(动1)[戦う] たたかう
护身术[護身術] ごしんじゅつ
健身法[健康法] けんこうほう
广场[広場] ひろば
制定(动3)[制定する] せいていする
不如/与其/宁可/毋宁/莫如 むしろ
血液[血液] けつえき
循环[循環] じゅんかん
内脏[内臓] ないぞう
背痛/肩酸/肩部僵硬[肩こり] かたこり
腰痛[腰痛] ようつう
不顺利/(会谈等)失败/破裂[不調] ふちょう
缓解/解除/取消/消灭(动3)[解消する] かいしょうする
功效/效用/效果[効用] こうよう
爱好者[愛好者] あいこうしゃ
爱好(动3)[愛好する] あいこうする
市长[市長] しちょう
推广/促进/推进(动3)[推進する] すいしんする
使起作用/供使用(动2)[役立てる] やくだてる
练习场地/练习场所/训练场所[練習所] れんしゅうじょ
体育馆[体育館] たいいくかん
讲授/讲解[講習] こうしゅう
许多/种种[数々] かずかず
护理/照顾[介護] かいご
相关/关联(动1)[関わる] かかわる
财政[財政] ざいせい
负担[負担] ふたん
减轻(动3)[軽減する] けいげんする
仅/只[単に] たんに
方面/侧面[側面] そくめん
联系/关系 つながり
作用/任务/职责/职务[役目] やくめ
完成/实现/实行(动1)[果たす] はたす
发祥地/正宗/嫡派/本家/正支[本家] ほんけ
契机/界/边界[境] さかい
未来/将来[未来] みらい
取得成果/结果/成功/实现[無を結ぶ] みをむすぶ
发挥作用/完成任务[役目を果たす] やくめをはたす
团结一心/互相协作[心を一つにする] こころをひとつにする
原～[元～] もと
全～[全～] ぜん
人行道[歩道] ほどう
恰当/适当/适合(形2)[適切] てきせつ
坐垫[座布団] ざぶとん
禁不住/不由得[思わず] おもわず
点头(动1) うなずく
地方/处所[箇所] かしょ
螺丝钉/螺钉 ねじ
痛苦/苦(形1)[苦しい] くるしい
错误/做错(动1)[間違う] まちがう
忙乱/急忙/慌忙/慌张(形1) あわただしい
困难/苦难[苦難] くなん
渡过/跨过/越过(动2)[乗り越える] のりこえる
博士[博士] はかせ
命/生命[命] いのち
宇宙开发[宇宙開発] うちゅうかいはつ
国际关系[国際関係] こくさいかんけい
我/咱/俺 おれ
面子/颜面/脸面[面子] めんつ
中药[漢方薬] かんぽうやく
阻挡/遮挡/遮住/挡住(动1)[遮る] さえぎる
新潟县[新潟県] にいがたけん
什么都/什么也[何もかも] なにもかも
