疼痛/痛[痛み] いたみ
使柔和/使缓和(动2)[和らげる] やわらげる
外用药/涂剂/涂抹药剂[塗り薬] ぬりぐすり
嗜好品/嗜好食品/饮品[嗜好品] しこうひん
唐代/唐朝[唐] とう
栽培(动3)[栽培する] さいばいする
急剧/飞跃/快速(形2)[飛躍的] ひやくてき
各地[各地] かくち
特色/独自/个人[独自] どくじ
品种[品種] ひんしゅ
花茶[花茶] はなちゃ
代表[代表] だいひょう
金桂/丹桂 キンモクセイ
产地[産地] さんち
体内[体内] たいない
脂肪[脂肪] しぼう
中东[中東] ちゅうとう
始祖/根本/本源 ルーツ
夸大/夸张/言过其实[過言] かごん
发音/读音/字音[音] おん
印地语 ヒンディー語
阿拉伯语 アラビア語
土耳其语 トルコ語
荷兰语 オランダ語
德语 ドイツ語
专门/完全 もっぱら
使用/用(动2)[用いる] もちいる
未必/不一定[必ずしも] かならずしも
嗜好/喜好[嗜好] しこう
镜子[鏡] かがみ
春秋战国时代[春秋戦国時代] しゅんじゅうせんごくじだい
三国时代[三国時代] さんごくじだい
秦代[秦] しん
学习/模仿(动1)[学ぶ] まなぶ
信仰(动3)[信仰する] しんこうする
各国/诸国[国々] くにぐに
客房/客厅[客室] きゃくしつ
统一(动3)[統一する] とういつする
牙刷[歯～] 歯ブラシ
整发液[整髪料] せいはつりょう
大陆[大陸] たいりく
走向/动向[動向] どうこう
专心/专心致志(动3)[専念する] せんねんする
疲劳[疲労] ひろう
综合体检[人間～] 人間ドック
体检/健康检查[健康診断] けんこうしんだん
糖尿病[糖尿病] とうにょうびょう
痛风[痛風] つうふう
膝关节炎[膝関節炎] ひざかんせつえん
～多岁[代] だい
