存储卡/记忆卡 メモリカード
接续[接続] せつぞく
电缆/电线 ケーブル
成套/一组/安装/组装 セット
数码生活 デジタルライフ
～型/～型号[～型] がた
每当……的时候/一……就…… たびに
～色[～色] しょく
根据～的情况[～次第で] しだいで
大学生[大学生] だいがくせい
喊叫/大声叫(动1)[叫ぶ] さけぶ
血型[血液型] けつえきがた
大型[大型] おおがた
导弹 ミサイル[]
气压态势/气压装置[気圧配置] きあつはいち
金字塔 ピラミッド
机器人 ロボット
厨师/炊事班长 シェフ
想/希望(动1)[望む] のぞむ
员工住宅[社宅] しゃたく
上次/前一次[前回] ぜんかい
胜利[勝利] しょうり
很大差别[大差] たいさ
紧急[緊急] きんきゅう
顺利/平安/无变故(形2)[無事] ぶじ
避难/逃生(动3)[避難する] ひなんする
训练[訓練] くんれん
溺水/淹没(动2)[溺れる] おぼれる
喜悦[喜び] よろこび
校长先生[校長先生] こうちょうせんせい
印章[判子] はんこ
喷嚏 くしゃみ
伤疤[傷跡] きずあと
腰腿[足腰] あしこし
衰弱(动2)[衰える] おとろえる
拘泥(动1)[拘る] こだわる
分歧/不一致[食い違い] くいちがい
发型[髪型] かみがた
美容美发店[美容院] びよういん
证词[証言] しょうげん
被告[被告] ひこく
有罪[有罪] ゆうざい
能力[能力] のうりょく
提纽/抓手 つまみ
把儿/把手/手柄[取っ手] とって
机身[本体] ほんたい
场景/场面[場面] ばめん
样式/模式[様式] ようしき
～痕/～痕迹[～跡] あと
