榎本[榎本] えのもと
脚本/剧本[台本] だいほん
知道/敬悉(动1)[承る] うけたまわる
数码相机 デジタルカメラ
电话听不清楚[電話が遠い] でんわがとおい
不在/离开/摘下/去除(动1)[外す] はずす
折回/返回(动1)[折り返す] おりかえす
电波[電波] でんぱ
急事[急用] きゅうよう
自行车旅行 サイクリング
评审/审查[審査] しんさ
毛豆[枝豆] えだまめ
销售人员[販売員] はんばいいん
采购/买进/购买[仕入れ] しいれ
不在/离席[席を外す] せきをはずす
再见 ごめんください
耳朵背/听力差[耳が遠い] みみがとおい
敬请光临/请过来[お越しいただく] おこしいただく
三村电器公司[三村電気] みむらでんき
小型而内容充实的(形2) コンパクト
充实(动3)[充実する] じゅうじつする
满载/装满(动3)[満載する] まんさいする
可能性[可能性] かのうせい
简单/非常容易/安适[楽々] らくらく
旋钮/调谐度盘 ダイヤル
晚霞[夕焼け] ゆうやけ
扣人心弦/动人的力量[迫力] はくりょく
发射的烟花[打ち上げ花火] うちあげはなび
镜头 レンズ
可以/可能[可能] かのう
动画[動画] どうが
装载[搭載する] とうさいする
场景/场面/景色 シーン
如自己所想[思い通り] おもいどおり
模式/形式/方法 モード
状态[状態] じょうたい
显示/再生/重放[再生] さいせい
操纵柄/手柄/杠杆/控制杆 レバー
设置/配置/安置[配置] はいち
充电[充電] じゅうでん
干电池[乾電池] かんでんち
手掌[手のひら] てのひら
小型[小型] こがた
分量轻[軽量] けいりょう
时尚/漂亮(形2) スタイリッシュ
机身 ボディー
镀铝/铝 アルミ
留恋/难舍[愛着] あいちゃく
精益求精/拘泥 こだわり
银/银色 シルバー
存储卡/记忆卡 メモリカード
接续[接続] せつぞく
电缆/电线 ケーブル
成套/一组/安装/组装 セット
数码生活 デジタルライフ
～型/～型号[～型] がた
每当……的时候/一……就…… たびに
～色[～色] しょく
根据～的情况[～次第で] しだいで
大学生[大学生] だいがくせい
喊叫/大声叫(动1)[叫ぶ] さけぶ
血型[血液型] けつえきがた
大型[大型] おおがた
导弹 ミサイル
气压态势/气压装置[気圧配置] きあつはいち
金字塔 ピラミッド
机器人 ロボット
厨师/炊事班长 シェフ
想/希望(动1)[望む] のぞむ
员工住宅[社宅] しゃたく
上次/前一次[前回] ぜんかい
胜利[勝利] しょうり
很大差别[大差] たいさ
紧急[緊急] きんきゅう
顺利/平安/无变故(形2)[無事] ぶじ
避难/逃生(动3)[避難する] ひなんする
训练[訓練] くんれん
溺水/淹没(动2)[溺れる] おぼれる
喜悦[喜び] よろこび
校长先生[校長先生] こうちょうせんせい
印章[判子] はんこ
喷嚏 くしゃみ
伤疤[傷跡] きずあと
腰腿[足腰] あしこし
衰弱(动2)[衰える] おとろえる
拘泥(动1)[拘る] こだわる
分歧/不一致[食い違い] くいちがい
发型[髪型] かみがた
美容美发店[美容院] びよういん
证词[証言] しょうげん
被告[被告] ひこく
有罪[有罪] ゆうざい
能力[能力] のうりょく
提纽/抓手 つまみ
把儿/把手/手柄[取っ手] とって
机身[本体] ほんたい
场景/场面[場面] ばめん
样式/模式[様式] ようしき
～痕/～痕迹[～跡] あと
