朴素(形2)[素朴] そぼく
石板路/铺石的地[石畳] いしだたみ
绵延不绝/连绵不断[延々] えんえん
必须看(的地方)[必見] ひっけん
昆曲/昆剧[昆劇] こんげき
越剧[越劇] えつげき
一定/务必 ぜひとも
船家/船老大/船夫[船頭] せんどう
柱子[柱] はしら
施加/施(动1)[施す] ほどこす
风雨[雨風] あめかぜ
垂檐/房檐 ひさし
瞠目结舌/监视/看守(动1)[見張る] みはる
富豪[富豪] ふごう
看厌/看腻(动2)[見飽きる] みあきる
北大街[北大街] ほくだいがい
商业街/商店街[商店街] しょうてんがい
浓郁地/浓厚地(形1)[色濃い] いろこい
道路宽度[道幅] みちはば
两侧[両側] りょうがわ
象征 シンボル
瞠目不已/瞪大眼睛[目を見張る] めをみはる
～游/～巡游[巡り] めぐり
四季[四季] しき
在校/上学[在学] ざいがく
湿度[湿度] しつど
闷热[蒸し暑い] むしあつい
幼儿园[幼稚園] ようちえん
源源不断/陆续/接着[続々] ぞくぞく
烟滚滚/烟蒙蒙/灰蒙蒙 もうもう
烟[煙] けむり
～迷/爱好者 マニア
募捐/捐款[募金] ぼきん
化妆[化粧] けしょう
搜索活动[捜索活動] そうさくかつどう
研究开发[研究開発] けんきゅうかいはつ
主人公[主人公] しゅじんこう
腻烦/厌烦/厌倦(动2)[飽きる] あきる
吃腻(动2)[食べ飽きる] たべあきる
听腻(动2)[聞き飽きる] ききあきる
画家[画家] がか
俱乐部 クラブ
政策[政策] せいさく
招聘人难[求人難] きゅうじんなん
现在更(不……)[今さら] いまさら
情调/风趣/情趣[風情] ふぜい
所谓的 いわゆる
描写(动3)[描写する] びょうしゃする
