瓦[瓦] かわら
瓦屋顶[瓦屋根] かわらやね
映/照(动1)[映る] うつる
缸/罐儿 かめ
装载(动1)[積む] つむ
以后/以来[以来] いらい
方法/手法[手法] しゅほう
昌盛繁荣/繁荣兴盛/兴旺(动2)[栄える] さかえる
绝没想到/怎能 まさか
酿酒(公司)[酒造] しゅぞう
那么/如此的话 でしたら
面向/面对(动3)[面する] めんする
咸亨酒店[～酒店] しゅてん
教科书[教科書] きょうかしょ
登载/记载(动1)[載る] のる
鲁迅纪念馆[魯迅記念館] ろじんきねんかん
顺路到/顺便到/走近(动1)[立ち寄る] たちよる
制作～[～作り] づくり
右边/右方/右手[右手] みぎて
左边/左方/左手[左手] ひだりて
寺院[寺院] じいん
要塞[要塞] ようさい
脚底[足元] あしもと
触摸/碰(动2)[触れる] ふれる
喷泉[噴水] ふんすい
水乡[水郷] すいごう
逆光[逆光] ぎゃっこう
值得看的地方[見どころ] みどころ
特产/名产[名産] めいさん
悠久[悠久] ゆうきゅう
一衣带水[一衣帯水] いちいたいすい
邻邦/邻国[隣国] りんごく
带子/衣服和腰带[衣帯] いたい
带子/腰带[帯] おび
隔开/分开(动2)[隔てる] へだてる
相邻/邻接/挨着(动1)[隣り合う] となりあう
教师/教员[教員] きょういん
死亡/牺牲者[犠牲者] ぎせいしゃ
运动场/棒球场 スタジアム
金融[金融] きんゆう
主要街道/大马路[表通り] おもてどおり
夕阳[夕日] ゆうひ
江南[江南] こうなん
长江[長江] ちょうこう
下游/下流[下流] かりゅう
南岸[南岸] なんがん
古镇[古鎮] こちん
水上/水名[水上] すいじょう
初春[初春] しょしゅん
格外/尤其 ひときわ
