卷/卷起(动1)[巻く] まく
夹心卷/反过来卷/把紫菜卷在里面的寿司[裏巻き] うらまき
鳄梨/鳄梨树/油梨 アボカド
仿蟹肉 カニカマ
三文鱼/鲑鱼/大马哈鱼 サーモン
金枪鱼 マグロ
西洋辣酱油/沙司/调味汁 ソース
腌/浸/泡/浸泡(动2)[漬ける] つける
油炸食品 フライ
做寿司用的配料/新闻素材/(犯罪)证据 ねた
生火腿 なまハム
设计/规划(动3)[考案する] こうあんする
绞尽脑汁/凝/集中(动1)[凝らす] こらす
以前/直到现在[従来] じゅうらい
改制/整理/排列/准备/安排(动3) アレンジする
鳕鱼子/咸鳕鱼子 たらこ
意大利面条 スパゲッティ
纳豆[納豆] なっとう
适应/结合/符合[即す] そくす
江户式的/江户派/在东京湾钓的鱼[江戸前] えどまえ
新西兰 ニュージーランド
(出口以后)重又进口/再输入(动3)[逆輸入する] ぎゃくゆにゅうする
煞费苦心/设法搞创新[創意工夫] そういくふう
～式/～派/～特点[～前] まえ
信念[信念] しんねん
穿过/贯彻(动1)[貫く] つらぬく
投手 ピッチャー
最后一局/最后一次[最終回] さいしゅうかい
过程中/中途/途中[途中] とちゅう
(做寿司用的)甜酸饭[すし飯] すしめし
什锦寿司饭/散寿司饭[～寿司] ちらしずし
薪水/工资/薪金/报酬[賃金] ちんぎん
岩石[岩] いわ
毯子/毛毯[毛布] もうふ
状况/现状[現状] げんじょう
乐观的(形2)[楽観的] らっかんてき
当初[当初] とうしょ
亲手做的菜[手料理] てりょうり
四瓣儿叶子[四つ葉] よつば
紫苜蓿/三叶草 クローバー
五片叶子[五つ葉] いつつば
～彻底/～结束/～完[～通す] とおす
