选拔[選考] せんこう
嘉宾/客人 ゲスト
太好了/太棒了 やった
超过/胜过(动1) こす
部门[部門] ぶもん
订/抓住/把握/掌控/压/按(动2)[押さえる] おさえる
首屈一指/第一[随一] ずいいち
水都酒楼[～酒楼] しゅろう
总厨师长[総料理長] そうりょうりちょう
特级厨师[特級調理師] とっきゅうちょうりし
手艺/能力/本事[腕前] うでまえ
认可/认定[認定] にんてい
确定等级/确定排名[ランク付け] らんくづけ
特意去/特意前往[足を運ぶ] あしをはこぶ
定婚/婚约(动3)[婚約する] こんやくする
劝/劝告/推荐(动2) すすめる
一口/一点[一口] ひとくち
羊毛/毛织品 ウール
手感/手摸时的感觉[手触り] てざわり
手机佩带/吊带/皮带/布带 ストラップ
英国 イギリス
胡子 ひげ
留/使……生长(动1)[生やす] はやす
杯子/茶杯/咖啡杯 カップ
乱/不平静(动2)[乱れる] みだれる
年底/年末[年末] ねんまつ
(数学)公式/正式[公式] こうしき
当然/不用说[無論] むろん
膝盖/膝关节 ひざ
中小企业[中小企業] ちゅうしょうきぎょう
有能干/能干/有才干(形2)[有能] ゆうのう
警告(动3)[警告する] けいこくする
肠[腸] ちょう
肝脏[肝臓] かんぞう
几天[数日] すうじつ
麻烦您了/承蒙帮助[お世話様でした] おせわさまでした
数/计算/列举(动2)[数える] かぞえる
寿司卷[巻き寿司] まきずし 
手攥寿司[握り寿司] にぎりずし
生鱼[生魚] なまざかな
适应/接受/回答/答应(动2)[応じる] おうじる
新创料理[創作料理] そうさくりょうり
紫菜/海藻 のり
紫菜卷寿司[のり巻き] のりまき
外面/外侧[外側] そとがわ
卷/卷起(动1)[巻く] まく
夹心卷/反过来卷/把紫菜卷在里面的寿司[裏巻き] うらまき
鳄梨/鳄梨树/油梨 アボカド
仿蟹肉 カニカマ
三文鱼/鲑鱼/大马哈鱼 サーモン
金枪鱼 マグロ
西洋辣酱油/沙司/调味汁 ソース
腌/浸/泡/浸泡(动2)[漬ける] つける
油炸食品 フライ
做寿司用的配料/新闻素材/(犯罪)证据 ねた
生火腿 なまハム
设计/规划(动3)[考案する] こうあんする
绞尽脑汁/凝/集中(动1)[凝らす] こらす
以前/直到现在[従来] じゅうらい
改制/整理/排列/准备/安排(动3) アレンジする
鳕鱼子/咸鳕鱼子 たらこ
意大利面条 スパゲッティ
纳豆[納豆] なっとう
适应/结合/符合[即す] そくす
江户式的/江户派/在东京湾钓的鱼[江戸前] えどまえ
新西兰 ニュージーランド
(出口以后)重又进口/再输入(动3)[逆輸入する] ぎゃくゆにゅうする
煞费苦心/设法搞创新[創意工夫] そういくふう
～式/～派/～特点[～前] まえ
信念[信念] しんねん
穿过/贯彻(动1)[貫く] つらぬく
投手 ピッチャー
最后一局/最后一次[最終回] さいしゅうかい
过程中/中途/途中[途中] とちゅう
(做寿司用的)甜酸饭[すし飯] すしめし
什锦寿司饭/散寿司饭[～寿司] ちらしずし
薪水/工资/薪金/报酬[賃金] ちんぎん
岩石[岩] いわ
毯子/毛毯[毛布] もうふ
状况/现状[現状] げんじょう
乐观的(形2)[楽観的] らっかんてき
当初[当初] とうしょ
亲手做的菜[手料理] てりょうり
四瓣儿叶子[四つ葉] よつば
紫苜蓿/三叶草 クローバー
五片叶子[五つ葉] いつつば
～彻底/～结束/～完[～通す] とおす
