二氧化碳[二酸化炭素] にさんかたんそ
发电[発電] はつでん
排放/排出(动3)[排出する] はいしゅつする
沙漠[砂漠] さばく
森林破坏[森林破壊] しんりんはかい
吸收(动3)[吸収する] きゅうしゅうする
吸收源[吸収源] きゅうしゅうげん
骤减/剧减(动3)[激減する] げきげんする
重要原因/主要原因/主要因素[要因] よういん
空调 エアコン
风力[風力] ふうりょく
植树活动[植林活動] しょくりんかつどう
采取/寻求/谋求/讲说/朗读(动2)[講じる] こうじる
～近～/最近～ ここ
采取对策/寻求对策[対策を講じる] たいさくをこうじる
程序/项目/计划/节目 プログラム
风扇/电风扇[扇風機] せんぷうき
神仙/上帝[神] かみ
报社/报馆[新聞社] しんぶんしゃ
社论[社説] しゃせつ
分量/重要性/重量[重み] おもみ
人体[人体] じんたい
着色剂/染色剂[着色料] ちゃくしょくりょう
平凡/普通/平常(形2)[平凡] へいぼん
确保(动3)[確保する] かくほする
节省能源[省～] しょうエネルギー
坏话[悪口] わるくち
爱迪生 エジソン
支出[支出] ししゅつ
午休/午睡/午觉[昼寝] ひるね
节奏/韵律 リズム
打乱/拆散/搞乱(动1)[崩す] くずす
自给[自給] じきゅう
减半(动3)[半減する] はんげんする
资助者/赞助单位/出资做广告者 スポンサー
要求/请求[要求] ようきゅう
渔夫/渔民[漁師] りょうし
望远镜[望遠鏡] ぼうえんきょう
超过半数/过半[過半数] かはんすう
器具/用具/器械[器具] きぐ
体积[体積] たいせき
运费/邮费[送料] そうりょう
涌现/产生/涌出/冒出(动1)[湧く] わく
鼓掌/拍手[拍手] はくしゅ
反倒/反而 かえって
