宣布/宣言[宣言] せんげん
漫天飞舞/飞来飞去(动1)[飛び交う] とびかう
赏花/看花[花見] はなみ
工作单位/工作岗位[職場] しょくば
密切/紧密(动3)[密着する] みっちゃくする
腌渍[塩漬け] しおづけ
樱花茶[桜茶] さくらちゃ
豆沙面包 あんパン
樱花糕/樱花饼[桜餅] さくらもち
木材[木材] もくざい
木工[木工] もっこう
木材/木料[用材] ようざい
树皮[樹皮] じゅひ
茶筒/茶桶[茶筒] ちゃづつ
工艺品[工芸品] こうげいひん
赠送/增予(动3)[寄贈する] きぞうする
补充一句/顺便/附带 ちなみに
焦躁不安/牵肠挂肚[気をもむ] きをもむ
～分/～成[分] ぶ
花开～成[分咲き] ぶざき
儿童[児童] じどう
IC识别卡/条形码/条码签 タグ
冷暖[寒暖] かんだん
差/差别/差额[差] さ
日本列岛[日本列島] にほんれっとう
这个那个/种种 あれこれ
完善/完备(动2)[整える] ととのえる
题例/例题[出題例] しゅつだいれい
商店/小卖店 ショップ
灾难[災難] さいなん
胜负[勝負] しょうぶ
胜败[勝敗] しょうはい
五五分/各半[五分五分] ごぶごぶ
平手/分开/平分[引き分け] ひきわけ
红豆馅儿[粒あん] つぶあん
红豆沙/豆沙馅儿 こしあん
开花前锋[開花前線] かいかぜんせん
樱花前锋正在北移[桜前線北上中] さくらぜんせんほくじょうちゅう
～份/～分量[分] ぶん
