四处飞散/洒落/飘洒/飞洒(动1)[飛び散る] とびちる
汤汁/汤/汁/汁液[汁] しる
密密麻麻地/满满地/空隙 びっしり
塞满/挤满/堆满/堵塞/不通(动1)[詰まる] つまる
精密仪器/精密器械[精密機器] せいみつきき
任务[任務] にんむ
完成/执行/贯彻[遂行] すいこう
宇航员/乘务员/机务员[乗組員] のりくみいん
向井千秋[向井千秋] むかいちあき
航天飞机 スペースシャトル
搭乘(动3)[搭乗する] とうじょうする
油豆腐寿司[～寿司] いなりずし
烤章鱼球[たこ焼き] たこやき
难题[難題] なんだい
博得/获取/获得/得到(动3)[博する] はくする
没什么特别的/算不了什么/不值一提[何でもない] なんでもない
～状/～样子/～状态[～状] じょう
第一次～/初次～/最早～[～初] はつ
大笔/大量/巨额[多額] たがく
会长[会長] かいちょう
参加竞选/作候选人(动3)[立候補する] りっこうほする
残障/障碍/妨碍[障害] しょうがい
困难[困難] こんなん
秤/天平/权衡[秤] はかり
兴奋/激动(动3)[興奮する] こうふんする
生活/度日/家境/家道/生计[暮らし] くらし
平原[平原] へいげん
火候/火头[火加減] ひかげん
调节/调剂/调整(动3)[調節する] ちょうせつする
忘年会/年末聚会[忘年会] ぼうねんかい
登陆/登岸(动3)[上陸する] じょうりくする
油[油] あぶら
月票/定期车票/定期门票[定期券] ていきけん
～程度/有点～[～加減] かげん
