反响/反应/回音[反響] はんきょう
说话少/沉默寡言(形2)[無口] むくち
高升/晋升/荣升[栄転] えいてん
价值/意义 かい
使担心/使挂念[心配をかける] しんぱいをかける
有那样的想法[その気になる] そのきになる
结婚纪念日[結婚記念日] けっこんきねんび
美食家 グルメ
领受/收到/吃(动3)[頂戴する] ちょうだいする
照顾/关怀/照料(动3)[配慮する] はいりょする
宴会/宴席[宴会] えんかい
二手车/旧车[中古車] ちゅうこしゃ
不营业/歇业/停止营业[休業] きゅうぎょう
换衣服/更衣(动2)[着替える] きがえる
牺牲(利益)/代价[犠牲] ぎせい
清洗/干洗 クリーニング
官员/公务员[役人] やくにん
大臣/部长[大臣] だいじん
伟大(形2)[偉大] いだい
升学考试/入学考试[入学試験] にゅうがくしけん
太好了 よかった
……得不得了/……得要命[仕方がない] しかたがない
……的样子 っぷり
太空食品[宇宙食] うちゅうしょく
补给/补充[補給] ほきゅう
重力[重力] じゅうりょく
初/最初/初期/开头[初頭] しょとう
软管/管筒 チューブ
糊状食品/糊/膏/酱 ペースト
地球上/地上/地面上[地上] ちじょう
永远/始终/到什么时候也 いつもでも
最好/最理想(形1)[望ましい] のぞましい
因为/由于/无论怎样/总之[何しろ] なにしろ
宇宙飞船[宇宙船] うちゅうせん
四处飞散/洒落/飘洒/飞洒(动1)[飛び散る] とびちる
汤汁/汤/汁/汁液[汁] しる
密密麻麻地/满满地/空隙 びっしり
塞满/挤满/堆满/堵塞/不通(动1)[詰まる] つまる
精密仪器/精密器械[精密機器] せいみつきき
任务[任務] にんむ
完成/执行/贯彻[遂行] すいこう
宇航员/乘务员/机务员[乗組員] のりくみいん
向井千秋[向井千秋] むかいちあき
航天飞机 スペースシャトル
搭乘(动3)[搭乗する] とうじょうする
油豆腐寿司[～寿司] いなりずし
烤章鱼球[たこ焼き] たこやき
难题[難題] なんだい
博得/获取/获得/得到(动3)[博する] はくする
没什么特别的/算不了什么/不值一提[何でもない] なんでもない
～状/～样子/～状态[～状] じょう
第一次～/初次～/最早～[～初] はつ
大笔/大量/巨额[多額] たがく
会长[会長] かいちょう
参加竞选/作候选人(动3)[立候補する] りっこうほする
残障/障碍/妨碍[障害] しょうがい
困难[困難] こんなん
秤/天平/权衡[秤] はかり
兴奋/激动(动3)[興奮する] こうふんする
生活/度日/家境/家道/生计[暮らし] くらし
平原[平原] へいげん
火候/火头[火加減] ひかげん
调节/调剂/调整(动3)[調節する] ちょうせつする
忘年会/年末聚会[忘年会] ぼうねんかい
登陆/登岸(动3)[上陸する] じょうりくする
油[油] あぶら
月票/定期车票/定期门票[定期券] ていきけん
～程度/有点～[～加減] かげん
