分公司/分社[支社] ししゃ
包括/含有/包含(动2)[含める] ふくめる
野田[野田] のだ
理惠[理恵] りえ
主要/重要(形2)[主] おも
风[風] ふう
国王/大王[王様] おうさま
网页/主页 ホームページ
中井[中井] なかい
参加/加/添加/增添(动1)[加わる] くわわる
浙江省[浙江省] せっこうしょう
绍兴[紹興] しょうこう
绍兴酒[紹興酒] しょうこうしゅ
至今/现在还…[今でも] いまでも
李/李子 スモモ
主任[主任] しゅにん
游艇/帆船 ヨット
定员/规定人数[定員] ていいん
黄油 バター
初级[初級] しょきゅう
人生[人生] じんせい
任务/职资/角色/作用[役割] やくわり
个性[個性] こせい
尊重(动3)[尊重する] そんちょうする
赴任/上任(动3)[赴任する] ふにんする
难受/痛苦/难过/艰苦/为难(形1)[辛い] つらい
决定[決定] けってい
不满[不満] ふまん
博物馆[博物館] はくぶつかん
现在[現在] げんざい
现在为止/以前/此前[今まで] いままで
往后请多费心 これからおせわになります
姓/姓氏[名字] みょうじ
姓[姓] せい
名[名] な
两者/双方/两边[両方] りょうほう
指/指示(动1)[指す] さす
明治[明治] めいじ
当时[当時] とうじ
政府[政府] せいふ
国民[国民] こくみん
武士[武士] ぶし
贵族[貴族] きぞく
人们/每个人[人々] ひとびと
地名[地名] ちめい
地形[地形] ちけい
林/树林[林] はやし
有关系/关系/关联(动3)[関係する] かんけいする
山谷/山沟[谷] たに
中谷[中谷] なかたに
杉树[杉] すぎ
大杉[大杉] おおすぎ
即使那样/尽管如此/可是 それでも
多民族国家[多民族国家] たみんぞくこっか
数量/数目[数] かず
另一方面/一方面[一方] いっぽう
人数[人数] にんずう
寺庙/寺院[寺] てら
车站工作人员/站务员[駅員] えきいん
(商店)关门(动3)[閉店する] へいてんする
昭和[昭和] しょうわ
平成[平成] へいせい
年号[年号] ねんごう
大正[大正] たいしょう
放弃/断念/死心(动2) あきらめる
考试/应试[受験] じゅけん
忽视/无视(动3)[無視する] むしする
夜校[夜間学校] やかんがっこう
敬语[敬語] けいご
超过/超出(动1)[上回る] うわまわる
不够……水平/在……一下(动1)[下回る] したまわる
父亲[父親] ちちおや
去世/死亡(动1)[亡くなる] なくなる
业绩/成绩[業績] ぎょうせき
