明治[明治] めいじ
当时[当時] とうじ
政府[政府] せいふ
国民[国民] こくみん
武士[武士] ぶし
贵族[貴族] きぞく
人们/每个人[人々] ひとびと
地名[地名] ちめい
地形[地形] ちけい
林/树林[林] はやし
有关系/关系/关联(动3)[関係する] かんけいする
山谷/山沟[谷] たに
中谷[中谷] なかたに
杉树[杉] すぎ
大杉[大杉] おおすぎ
即使那样/尽管如此/可是 それでも
多民族国家[多民族国家] たみんぞくこっか
数量/数目[数] かず
另一方面/一方面[一方] いっぽう
人数[人数] にんずう
寺庙/寺院[寺] てら
车站工作人员/站务员[駅員] えきいん
(商店)关门(动3)[閉店する] へいてんする
昭和[昭和] しょうわ
平成[平成] へいせい
年号[年号] ねんごう
大正[大正] たいしょう
放弃/断念/死心(动2) あきらめる
考试/应试[受験] じゅけん
忽视/无视(动3)[無視する] むしする
夜校[夜間学校] やかんがっこう
敬语[敬語] けいご
超过/超出(动1)[上回る] うわまわる
不够……水平/在……一下(动1)[下回る] したまわる
父亲[父親] ちちおや
去世/死亡(动1)[亡くなる] なくなる
业绩/成绩[業績] ぎょうせき
