相互推挤/冲撞(动1)[押し合う] おしあう
压力[圧力] あつりょく
承受/忍受/忍耐(动2)[耐える] たえる
一下子/一口气[一気に] いっきに
错位/错开/移动/背离/偏离(动2) ずれる
地层[地層] ちそう
扭曲/歪曲/歪斜 ゆがみ
国土[国土] こくど
境界/边界/疆界[境界] きょうかい
位于/位置(动3)[位置する] いちする
科学技术/科技[科学技術] かがくぎじゅつ
预测/预知/预先知晓[予知] よち
高精度[高精度] こうせいど
～栋/～幢[～棟] とう
主题公园 テーマパーク
开张/开业/开放(动3) オーペンする
悲剧[悲劇] ひげき
对打/互打(动1)[打ち合う] うちあう
顺序[順序] じゅんじょ
下车(动3)[下車する] げしゃする
毕业论文[卒業論文] そつぎょうろんぶん
互相说/各执一司/争论(动1)[言い合う] いいあう
空/眼/洞穴/漏洞/缺点[穴] あな
炖/煮/熬(动1)[煮込む] にこむ
反复/多次/摞/叠放(动2)[重ねる] かさねる
反抗(动3)[反抗する] はんこうする
到底/毕竟/终归 あくまで
代理[代理] だいり
西面/西/西方[西] にし
留级/落选/落第[落第] らくだい
秩序井然/井井有条[順序よく] じゅんじょよく
