一员/一分子[一員] いちいん
手边/手头[手元] てもと
在……之前/率先(动1)[先立つ] さきだつ
细致/周密/详尽(形2)[綿密] めんみつ
看惯/看熟(动2)[見慣れる] みなれる
吃惊/惊讶/震惊[驚き] おどろき
郊外/郊区[郊外] こうがい
好处/长处/优点[利点] りてん
补充/补足[補足] ほそく
开始[開始] かいし
水产[水産] すいさん
共同/共通[共通] きょうつう
两国[両国] りょうこく
相互[相互] そうご
代理人[代理人] だいりにん
声明/评语/注释 コメント
原著/原作[原作] げんさく
旅游鞋/轻便运动鞋 スニーカー
百药之王[百薬の長] ひゃくやくのちょう
死者/死人[死者] ししゃ
受伤的人/负伤者[負傷者] ふしょうしゃ
地裂/地面崩裂[地割れ] じわれ
火灾[火災] かさい
苏门答腊岛 スマトラ島
印度尼西亚 インドネシア
印度洋 インド洋
沿岸/沿海[沿岸] えんがん
涌过来/蜂拥而至(动2)[押し寄せる] おしよせる
巨大/甚大/很大/非常大(形2)[甚大] じんだい
造成/招致/带来/带去(动1) もたらす
海底[海底] かいてい
板块(构造)/板/金属板/感光板/底片 プレート
岩盘[岩盤] がんばん
其他/另外[別] べつ
相互推挤/冲撞(动1)[押し合う] おしあう
压力[圧力] あつりょく
承受/忍受/忍耐(动2)[耐える] たえる
一下子/一口气[一気に] いっきに
错位/错开/移动/背离/偏离(动2) ずれる
地层[地層] ちそう
扭曲/歪曲/歪斜 ゆがみ
国土[国土] こくど
境界/边界/疆界[境界] きょうかい
位于/位置(动3)[位置する] いちする
科学技术/科技[科学技術] かがくぎじゅつ
预测/预知/预先知晓[予知] よち
高精度[高精度] こうせいど
～栋/～幢[～棟] とう
主题公园 テーマパーク
开张/开业/开放(动3) オーペンする
悲剧[悲劇] ひげき
对打/互打(动1)[打ち合う] うちあう
顺序[順序] じゅんじょ
下车(动3)[下車する] げしゃする
毕业论文[卒業論文] そつぎょうろんぶん
互相说/各执一司/争论(动1)[言い合う] いいあう
空/眼/洞穴/漏洞/缺点[穴] あな
炖/煮/熬(动1)[煮込む] にこむ
反复/多次/摞/叠放(动2)[重ねる] かさねる
反抗(动3)[反抗する] はんこうする
到底/毕竟/终归 あくまで
代理[代理] だいり
西面/西/西方[西] にし
留级/落选/落第[落第] らくだい
秩序井然/井井有条[順序よく] じゅんじょよく
