扎/束/捆/整顿(动2)[束ねる] たばねる
绳子/绳索/缆绳 ロープ
直径[直径] ちょっけい
环/圆圈[輪] わ
吊床 ハンモック
挂/吊/悬挂(动2)[吊り下げる] つりさげる
亲自/自己[自ら] みずから
秋千 ぶらんこ
摇晃/晃动(动1)[揺らす] ゆらす
尼龙/锦纶 ナイロン
伸缩[伸縮] しんしゅく
品质/性质[性質] せいしつ
尝试/试验[試み] こころみ
全无/毫无/完全没有[皆無] かいむ
困难/难度[難しさ] むずかしさ
肉食/吃肉/食肉[肉食] にくしょく
饵料/饵食/诱饵 えさ
领地/地盘/势力范围[縄張り] なわばり
自相残杀/同类相残/互相残食[共食い] ともぐい
构造/结构[構造] こうぞう
分解/拆分/分析(动3)[分解する] ぶんかいする
纤维[繊維] せんい
露出贪欲[欲を出す] よくをだす
获得/拿到[手に入れる] てにいれる
～毫米 ミリ
贪得无厌/贪心/贪欲/贪念[欲張り] よくばり
公众/公共/大家/普通人[公衆] こうしゅう
面前/眼前[面前] めんぜん
老后/晚年[老後] ろうご
发烧/热情(形1)[熱っぽい] ねつっぽい
乏力/倦懒(形1)[怠い] だるい
体温[体温] たいおん
换/更换/更替/换班/轮换(动3)[交代する] こうたいする
研讨会/研究会[研究会] けんきゅうかい
载人宇宙飞行[有人宇宙飛行] ゆうじんうちゅうひこう
恐惧/害怕[恐れ] おそれ
传染(动3)[伝染する] でんせんする
复印纸[～用紙] こぴーようし
欲壑难填/贪欲很重[欲が深い] よくがふかい
主动地/积极地/自愿地[進んで] すすんで
