致力于/埋头于(动1)[取り組む] とりくむ
一面/一边/旁边 かたわら
饲养(动3)[飼育する] しいくする
启发/启示[啓発] けいはつ
这样的/如此的 こうした
援助/支援[支援] しえん
募集/征募/招募(动1)[募る] つのる
派遣(动3)[派遣する] はけんする
观察[観察] かんさつ
加深/深化(动2)[深める] ふかめる
时候/时间[時点] じてん
佐渡岛[佐渡島] さどがしま
尝试/试验(动2)[試みる] こころみる
拼命/竭尽全力[懸命] けんめい
援助/救援/搭救/挽救[救い] すくい
伸出(动2)[差し伸べる] さしのべる
正值/正当(动3)[際する] さいする
赠送[贈呈] ぞうてい
雄/雄性[雄] おす
雌/雌性[雌] めす
只～/仅～ のみ
次～/翌～/第二～[翌～] よく
断水/停水[断水] だんすい
黎明/拂晓[明け方] あけがた
做法/方法/办法[仕方] しかた
撞上/冲突/矛盾[衝突] しょうとつ
感染/染上(动3)[感染する] かんせんする
停课措施[休校措置] きゅうこうそち
山本[山本] やまもと
教练/技术指导 コーチ
裁判(员)/审判/判决[審判] しんぱん
灾区/受灾区[被災地] ひさいち
银/银钱/银色[銀] ぎん
天线 アンテナ
书面/书信/信件[書面] しょめん
