下班/辞职/退职(动3)[退社する] たいしゃする
稳定/沉着/安定(动1)[落ち着く] おちつく
鼓劲/鼓励/激励(动1)[励ます] はげます
节日/假日[祝日] しゅくじつ
录音(动3)[録音する] ろくおんする
英文/英语[英文] えいぶん
晃动/摇晃/震动[揺れ] ゆれ
姐姐[お姉ちゃん] おねえちゃん
停电(动3)[停電する] ていでんする
讨厌/厌烦(动1)[嫌う] きらう
美容师[美容師] びようし
半个人/半吊子/半份儿[半人前] はんにんまえ
你辛苦了/给你添麻烦了[ご苦労様です] ごくろうさまです
不得了/无法/无奈/无可奈何 しょうがない
朱鹮 トキ
灭绝/绝灭[絶滅] ぜつめつ
危机[危機] きき
直面/面临/面对(动3)[直面する] ちょくめんする
朝鲜半岛[朝鮮半島] ちょうせんはんとう
东亚[東アジア] ひがしアジア
地带/一带[一帯] いったい
分布(动3)[分布する] ぶんぷする
滥捕/乱捕[乱獲] らんかく
恶化[悪化] あっか
濒危物种/濒临灭绝物种[絶滅危惧種] ぜつめつきぐしゅ
野生[野生] やせい
栖息/生息(动3)[生息する] せいそくする
陕西省[陝西省] せんせいしょう
西安[西安] せいあん
洋县[洋県] ようけん
栖息地[生息地] せいそくち
一度/一段时期[一時期] いちじき
筑巢地/筑巢区域/营巢区域[営巣地] えいそうち
观察/监视[監視] かんし
保护[保護] ほご
致力于/埋头于(动1)[取り組む] とりくむ
一面/一边/旁边 かたわら
饲养(动3)[飼育する] しいくする
启发/启示[啓発] けいはつ
这样的/如此的 こうした
援助/支援[支援] しえん
募集/征募/招募(动1)[募る] つのる
派遣(动3)[派遣する] はけんする
观察[観察] かんさつ
加深/深化(动2)[深める] ふかめる
时候/时间[時点] じてん
佐渡岛[佐渡島] さどがしま
尝试/试验(动2)[試みる] こころみる
拼命/竭尽全力[懸命] けんめい
援助/救援/搭救/挽救[救い] すくい
伸出(动2)[差し伸べる] さしのべる
正值/正当(动3)[際する] さいする
赠送[贈呈] ぞうてい
雄/雄性[雄] おす
雌/雌性[雌] めす
只～/仅～ のみ
次～/翌～/第二～[翌～] よく
断水/停水[断水] だんすい
黎明/拂晓[明け方] あけがた
做法/方法/办法[仕方] しかた
撞上/冲突/矛盾[衝突] しょうとつ
感染/染上(动3)[感染する] かんせんする
停课措施[休校措置] きゅうこうそち
山本[山本] やまもと
教练/技术指导 コーチ
裁判(员)/审判/判决[審判] しんぱん
灾区/受灾区[被災地] ひさいち
银/银钱/银色[銀] ぎん
天线 アンテナ
书面/书信/信件[書面] しょめん
