制度[制度] せいど
百分比[％] パーセント
弹性工作时间制度 フレックスタイムせいど
下班[退勤] たいきん
劳动者/工人[労働者] ろうどうしゃ
平衡/均衡 バランス
制定/设置/设立(动2)[設ける] もうける
育婴休假/产假[育児休暇] いくじきゅうか
基本上/几乎 ほとんど
得到/取得(动2)[得る] える
晋升/出人头地/出息/发迹[出世] しゅっせ
妨碍/妨害[妨げ] さまたげ
相比/比较/对比(动2)[比べる] くらべる
追/赶/催逼(动1)[追う] おう
以往/此前 これまで
出现/能看到 みられる
被时间追赶[時間に追われる] じかんにおわれる
过去/以前/曾经 かって
联想(动3)[連想する] れんそうする
环境问题[環境問題] かんきょうもんだい
餐具[食器] しょっき
经营/对待/处理(动1)[扱う] あつかう
增加[増加する] ぞうかする
急剧/急速(形2)[急激] きゅうげき
生活习惯病/成人病[生活習慣病] せいかつしゅうかんびょう
农业[農業] のうぎょう
兴盛/旺盛/热烈(形2)[盛ん] さかん
工业[工業] こうぎょう
保持/维持/保/保住(动1)[保つ] たもつ
崩溃/毁坏(动2)[崩れる] くずれる
失去/丧失(动1)[失う] うしなう
收支[収支] しゅうし
即将……之前/正前面[直前] ちょくぜん
细小/细致/琐碎(形1)[細かい] こまかい
点/方面[点] てん
疑问[疑問] ぎもん
预测[予測] よそく
