比赛/会演 コンテスト
最高奖[最高賞] さいこうしょう
获奖/得奖(动3)[受賞する] じゅしょうする
机会/开端/契机 きっかけ
非凡功绩/大功[金星] きんぼし
行星/星星[星] ほし
相扑/日式摔跤[相撲] すもう
地位/职位/官位[位] くらい
力士[力士] りきし
横纲(相扑最高级别)[横綱] よこづな
瓶子/酒瓶 ボトル
一定/肯定/没错(形1)[間違いない] まちがいない
成就非凡功绩/获得金星[金星をあげる] きんぼしをあげる
那么1 さて
不过/可是/但是/然而 けれども
另外/然后/还(差)……/再…… あと
那么2 で
结果[結果] けっか
最大[最大] さいだい
最小[最小] さいしょう
最低[最低] さいてい
最合适/最适合(形2)[最適] さいてき
最爱[最愛] さいあい
线索[手がかり] てがかり
依靠/依据/借助的东西[頼り] たより
留下/剩下(动1)[残す] のこす
刀子/小刀/餐刀/水果刀 ナイフ
解决(动3)[解決する] かいけつする
柔道[柔道] じゅうどう
来源于/由来(动3)[由来する] ゆらいする
葡萄牙语 ポルトガルご
瓶子[瓶] びん
连衣裙 ワンピース
体操[体操] たいそう
每个人/各自[一人一人] ひとりひとり
税金[税金] ぜいきん
缴纳/交纳/结束/完毕(动2)[納める] おさめる
义务[義務] ぎむ
不同/相异[相違] そうい
旅行指南/参考手册 ガイドブック
丰富(形2)[豊富] ほうふ
没错[違いない] ちがいない
没有区别[相違ない] そういない
词/词汇[語彙] ごい
词汇/单词[単語] たんご
原来/本来/根源/起源[元] もと
划分/分类(动3)[分類する] ぶんるいする
和语词[和語] わご
