汉语词[漢語] かんご
外来词[外来語] がいらいご
混合词 こんしゅご
分/分开/分解(动2)[分ける] わける
原本/本来/根本 もともと
引进/引入/采用(动2)[取り入れる] とりいれる
音读[音読み] おんよみ
依据/根据/基于(动1)[基づく] もとづく
西方/西洋[西洋] せいよう
中心[中心] ちゅうしん
片假名[片仮名] かたかな
之中/当中 うち
组合/编到一起(动2)[組み合わせる] くみあわせる
生物[生物] せいぶつ
动物[動物] どうぶつ
植物[植物] しょくぶつ
总称[総称] そうしょう
生的(食品)/生鲜(食品)[生物] なまもの
煮/炖/熬/煨/焖(动2)[煮る] にる
句/句子/文章[文] ぶん
不同/区别[違い] ちがい
住宿设施[宿泊施設] しゅくはくしせつ
大抵/大都 たいてい
被褥/铺盖[布団] ふとん
铺/垫(动1)[敷く] しく
判断(动3)[判断する] はんだんする
本来/原来[元来] がんらい
本来[本来] ほんらい
小提琴 バイオリン
温和/平稳/平静(形2)[穏やか] おだやか
作坊/工厂/工场[工場] こうば
方形厚纸笺[色紙] しきし
彩纸/彩色折叠纸[色紙] いろがみ
实话[実話] じつわ
国立[国立] こくりつ
国立大学[国立大学] こくりつだいがく
参加者[参加者] さんかしゃ
奖品[賞品] しょうひん
大部分[大部分] だいぶぶん
关心/关怀/感兴趣[関心] かんしん
发生(动3)[発生する] はっせいする
房租[家賃] やちん
鱿鱼/墨鱼 イカ
胆固醇 コレステロール
食品[食品] しょくひん
广州[広州] こうしゅう
顺序/次序[順番] じゅんばん
游戏软件 ゲームソフト
哈欠 あくび
