玉/玉器[玉] ぎょく
金属[金属] きんぞく
略显/稍稍/稍微(形2) やや
扁平/平/平坦[平ら] たいら
不锈钢 ステンレス
最前端/尖儿/前面[先] さき
尖/尖细/紧张/发怒(动1) とがる
生漆/漆/漆器[漆] うるし
涂/擦/抹(动1)[塗る] ぬる
专用[専用] せんよう
茶杯/饭碗[茶わん] ちゃわん
大盘子[大皿] おおざら
公用筷子/公筷[取りばし] とりばし
正规/正式(形2)[正式] せいしき
礼节/规矩/礼貌 マナー
越南 ベトナム
文化[文化] ぶんか
实在/的确/确实[実に] じつに
旅游/(短途或时间短的)旅行 ツアー
欧美/欧洲和美洲[欧米] おうべい
西式房间[洋室] ようしつ
和服/日式传统服装[和服] わふく
日式糕点[和菓子] わがし
西式糕点[洋菓子] ようがし
日式[和式] わしき
西式[洋式] ようしき
日式风格[和風] わふう
西式风格[洋風] ようふう
农村[農村] のうそん
跑步/赛跑 ランニング
泡沫苯乙烯[発泡～] はっぽうスチロール 
塑料薄膜/乙烯基 ビニール
非火燃烧垃圾/不可燃垃圾[不燃～] ふねんごみ
牛仔裤/工装裤 ジーンズ
苗条/漂亮/洒脱(形2) スマート
鳗鱼/鳗鲡[鰻] うなぎ
通体/全身[全身] ぜんしん
早餐/早点[朝食] ちょうしょく
情人节 バレンタインデー
赠送/授予(动1)[贈る] おくる
时机/时候 タイミング
