参考[参考] さんこう
制作[制作] せいさく
感觉/感性[感性] かんせい
创作[創作] そうさく
新创中国菜大赛[創作中華料理～] そうさくちゅうかりょうりコンテスト
征集/寡集/招募(动3)[募集する] ぼしゅうする
形式[形式] けいしき
评委/审查人员[審査員] しんさいん
明星/星星 スター
话题/谈话材料[話題] わだい
的确/诚然 なるほど
报道/采纳/拿起(动2)[取り上げる] とりあげる
分别/各自 それぞれ
作为参考(短语)[参考～] さんこうにする
有参考价值/供参考(短语)[参考～] さんこうになる
成为热门话题/成为谈资(短语)[話題～] わだいになる
什么样的/怎样的 どういう
不像样/不体面/不成体统(形1) みっともない
意大利菜[～料理] イタリアりょうり
番茄 トマト
大蒜 ニンニク
活动/事件/集会 イベント
延期(动3)[延期する] えんきする
花瓶[花瓶] かびん
三明治 サンドイッチ
交通网络[交通網] こうつうもう
发达(动3)[発達する] はったつする
医疗事故[医療～] いりょうミス
看病/检查/诊察[診察] しんさつ
宝石[宝石] ほうせき
梅花/梅/梅树/梅子[梅] うめ
转校/转学(动3)[転校する] てんこうする
女子/女生/女孩子[女子] じょし
方法[方法] ほうほう
纠纷/事故/故障 トラブル
牛奶 ミルク
作法/做法[作法] さほう
手段[手段] しゅだん
联系/交流/沟通 コミュニケーション
邮件名/文件名/事件名[件名] けんめい
事/本情[用件] ようけん
明确(形2)[明確] めいかく
收件(信)人地址[宛て先] あてさき
股份有限责任公司[株式会社] かぶしきがいしゃ
开头/开始[初め] はじめ
简洁(形2)[簡潔] かんけつ
要点[要点] ようてん
文字/字[文字] もじ
换行(动3)[改行する] かいぎょうする
空开/空出(动2) あげる
署名/签名[署名] しょめい
工作单位/所属/附属[所属] しょぞく
交往[付き合い] つきあい
戏剧/演戏[演劇] えんげき
野草/杂草[雑草] ざっそう
早起[早起き] はやおき
日出[日の出] ひので
回答/答复/回复[返事] へんじ
随声应答[相づち] あいづち
春卷[春巻] はるまき
平常/日常[日常] にちじょう
抢劫/强盗[強盗] ごうとう
奶油 クリーム
果酱 ジャム
加入/加上/增加(动2)[加える] くわえる
股票[株] かぶ
交易/买卖[取り引き] とりひき
目标[目標] もくひょう
分数/得分/件数[点数] てんすう
