方法[方法] ほうほう
纠纷/事故/故障 トラブル
牛奶 ミルク
作法/做法[作法] さほう
手段[手段] しゅだん
联系/交流/沟通 コミュニケーション
邮件名/文件名/事件名[件名] けんめい
事/本情[用件] ようけん
明确(形2)[明確] めいかく
收件(信)人地址[宛て先] あてさき
股份有限责任公司[株式会社] かぶしきがいしゃ
开头/开始[初め] はじめ
简洁(形2)[簡潔] かんけつ
要点[要点] ようてん
文字/字[文字] もじ
换行(动3)[改行する] かいぎょうする
空开/空出(动2) あげる
署名/签名[署名] しょめい
工作单位/所属/附属[所属] しょぞく
交往[付き合い] つきあい
戏剧/演戏[演劇] えんげき
野草/杂草[雑草] ざっそう
早起[早起き] はやおき
日出[日の出] ひので
回答/答复/回复[返事] へんじ
随声应答[相づち] あいづち
春卷[春巻] はるまき
平常/日常[日常] にちじょう
抢劫/强盗[強盗] ごうとう
奶油 クリーム
果酱 ジャム
加入/加上/增加(动2)[加える] くわえる
股票[株] かぶ
交易/买卖[取り引き] とりひき
目标[目標] もくひょう
分数/得分/件数[点数] てんすう
