宣传活动 キャンペーン
目标 ターゲット
集中/榨/挤(动1)[絞る] しぼる
品尝会/试饮会[試飲会] しいんかい
探访/探寻/试探(动1)[探る] さぐる
栏目/专栏/角落/专柜 コーナー
宣传/广告[ＰＲ] ピーアール
采访/取材[取材] しゅざい
像这样的 そのような
是这样/是那样的/的确如此(短语) そのとおりです
～样/～那样 とおり
～区域/～部位[～部] ぶ
食欲[食欲] しょくよく
存款/存钱/储蓄[貯金] ちょきん
寄钱/汇款(动3)[送金する] そうきんする
管弦乐(队) オーケストラ
演奏会[演奏会] えんそうかい
晚餐/晚饭[夕食] ゆうしょく
电池[電池] でんち
特征/特点[特徴] とくちょう
演讲/演说[講演] こうえん
绘画[絵画] かいが
町子[町子] まちこ
拓也[拓也] たくや
交往/交际(动3)[交際する] こうさいする
预报[予報] よほう
碗装方便面 カップラーメン
加入/注入(动1)[注ぐ] そそぐ
日清食品[日清食品] にっしんしょくひん
开创者/创立者/创建者/创业者[創業者] そうぎょうしゃ
方便面 インスタントラーメン
已经/业已 すでに
品尝/试餐(动3)[試食する] ししょくする
于是/接着 すると
大碗/海碗 どんぶり
