代替/替代[代わり] かわり
纸杯 かみコップ
掰碎/弄碎/打碎(动1)[砕く] くだく
代替(动1)[代わる] かわる
销售/出售(动3)[販売する] はんばいする
坚信/确信(动3)[確信する] かくしんする
下功夫/想办法[工夫] くふう
结果/末尾/末了/结尾[末] すえ
采用/采纳(动3)[採用する] さいようする
滑落/滑下(动2)[滑り落ちる] すべりおちる 
～圈/～区域 けん
～个国家 かこく
一生[一生] いっしょう
赚钱/发财(动2)[儲ける] もうける
受伤的人/伤员 けがにん
损失/受灾/受害[被害] ひがい
扩大/扩展[拡大] かくだい
遭遇/碰上(动1) あう
安全带 シートベルト
骨折[骨折] こっせつ
纸箱/纸盒[段ボール箱] だんぼーるばこ
老鼠/耗子 ネズミ
跳出/跑出/飞起(动1)[飛び出す] とびだす
猴子/猿猴[猿] さる
挨近/靠近[近寄る] ちかよる
敲/打(动1)[打つ] うつ
锅[鍋] なべ
长子/长男[長男] ちょうなん
米[米] こめ
粉/粉末[粉] こな
协商/商谈[話し合い] はなしあい
一致/归纳/凑齐(动1) まとまる
结果/最后[結局] けっきょく
目的地[目的地] もくてきち
包裹[小包] こづつみ
样子[様子] ようす
