宣传活动 キャンペーン
目标 ターゲット
集中/榨/挤(动1)[絞る] しぼる
品尝会/试饮会[試飲会] しいんかい
探访/探寻/试探(动1)[探る] さぐる
栏目/专栏/角落/专柜 コーナー
宣传/广告[ＰＲ] ピーアール
采访/取材[取材] しゅざい
像这样的 そのような
是这样/是那样的/的确如此(短语) そのとおりです
～样/～那样 とおり
～区域/～部位[～部] ぶ
食欲[食欲] しょくよく
存款/存钱/储蓄[貯金] ちょきん
寄钱/汇款(动3)[送金する] そうきんする
管弦乐(队) オーケストラ
演奏会[演奏会] えんそうかい
晚餐/晚饭[夕食] ゆうしょく
电池[電池] でんち
特征/特点[特徴] とくちょう
演讲/演说[講演] こうえん
绘画[絵画] かいが
町子[町子] まちこ
拓也[拓也] たくや
交往/交际(动3)[交際する] こうさいする
预报[予報] よほう
碗装方便面 カップラーメン
加入/注入(动1)[注ぐ] そそぐ
日清食品[日清食品] にっしんしょくひん
开创者/创立者/创建者/创业者[創業者] そうぎょうしゃ
方便面 インスタントラーメン
已经/业已 すでに
品尝/试餐(动3)[試食する] ししょくする
于是/接着 すると
大碗/海碗 どんぶり
代替/替代[代わり] かわり
纸杯 かみコップ
掰碎/弄碎/打碎(动1)[砕く] くだく
代替(动1)[代わる] かわる
销售/出售(动3)[販売する] はんばいする
坚信/确信(动3)[確信する] かくしんする
下功夫/想办法[工夫] くふう
结果/末尾/末了/结尾[末] すえ
采用/采纳(动3)[採用する] さいようする
滑落/滑下(动2)[滑り落ちる] すべりおちる 
～圈/～区域 けん
～个国家 かこく
一生[一生] いっしょう
赚钱/发财(动2)[儲ける] もうける
受伤的人/伤员 けがにん
损失/受灾/受害[被害] ひがい
扩大/扩展[拡大] かくだい
遭遇/碰上(动1) あう
安全带 シートベルト
骨折[骨折] こっせつ
纸箱/纸盒[段ボール箱] だんぼーるばこ
老鼠/耗子 ネズミ
跳出/跑出/飞起(动1)[飛び出す] とびだす
猴子/猿猴[猿] さる
挨近/靠近[近寄る] ちかよる
敲/打(动1)[打つ] うつ
锅[鍋] なべ
长子/长男[長男] ちょうなん
米[米] こめ
粉/粉末[粉] こな
协商/商谈[話し合い] はなしあい
一致/归纳/凑齐(动1) まとまる
结果/最后[結局] けっきょく
目的地[目的地] もくてきち
包裹[小包] こづつみ
样子[様子] ようす
