顺序/次序[順] じゅん
庞贝古城 パンペイ
公元/公历/阳历[西暦] せいれき
火山[火山] かざん
爆发[爆発] ばくはつ
埋上/埋藏(动1)[埋まる] うまる
角落/旮旯[隅] すみ
群/组/集团 グループ
不由得/总觉得 なんとなく
放松/放心/松气 ほっと
莞尔/微笑/嫣然一笑 にっこり
相通(动2)[相通じる] あいつうじる
～出发[～発] はつ
～晚[～泊] はく
～店主/～店/～铺[～屋] や
最后一天[最終日] さいしゅうび
结束/终了(动3)[終了する] しゅうりょうする
轻飘飘/软绵绵(副) ふわふわ
磨磨蹭蹭/慢腾腾(副) ぐずぐず
发呆/精神恍惚/模糊/不清楚(副) ぼんやり
焦躁不安/焦急(副) いらいら
欢欣雀跃/兴奋(副) わくわく
大吃一惊/震惊/吓一跳(副) どきっと
七上八下/心怦怦跳/忐忑不安(副) どきどき
棉花/棉[棉] わた
求婚(动2) プロポーズする
水蒸气/热气[湯気] ゆげ
眼前/面前[目の前] めのまえ
扇子/折扇[扇子] せんす
羽毛/翎毛[羽] はね
抹布 ぞうきん
突然/冷不防 いきなり
亚洲/东方/亚洲东部和东南部[東洋] とうよう
东方医学[東洋医学] とうよういがく
羡慕/眼红(形1) うらやましい
幽灵[幽霊] ゆうれい
喜欢/爱好(动1)[好む] このむ
相通(动3)[相通ずる] あいつうずる
环境[環境] かんきょう
