都/京城/繁华都市[都] みやこ
出发/动身/离开(动1)[発つ] たつ
烟[煙] けむり
密密麻麻地/满满地/空隙 びっしり
绳子/绳索/缆绳 ロープ
删除(动3)[削除する] さくじょする
不认真/马马虎虎(形2) おろそか
港口[港] みなと
正午[正午] しょうご
马马虎虎/不正经/恰当(形2) いいかげん
巢/巢穴[巣] す
板块(构造)/板/金属板/感光板/底片 プレート
梗概/概要 あらすじ
火灾[火災] かさい
许可/允许[許可] きょか
到底/毕竟/终归 あくまで
处分/处理[処分] しょぶん
大川[大川] おおかわ
主要/重要(形2)[主] おも
街道/城镇[街] まち
劳动[労働] ろうどう
公营[公営] こうえ
带(子)/细绳 ひも
到来/来临/访问(动2)[訪れる] おとずれる
疲劳 くたびれる
高原[高原] たかはら
打折/折扣/减价[割引] わりびき
相互[相互] そうご
完全/全部(副) そっくり
形容干/干燥 からから
汤匙/调羹 れんげ
宣传活动 キャンペーン
连衣裙 ワンピース
所有/一切 あらゆる
片假名[片仮名] かたかな
正是/真正是/的确/实在/确实 まさに
脏[汚い] きたない
玻璃杯 グラス
然后(另外) それから
明信片 はがき
