红叶[紅葉] もみじ
故乡[故郷] こきょう
大街[通り] とおり
城市(or街道)[町] まち
场所[所] ところ
商店[お店] おみせ
玩偶[人形] にんぎょう
作品[作品] さくひん
雕刻[彫刻] ちょうこく
汽车[自動車] じどうしゃ
工具[道具] どうぐ
鱼[魚] さかな
点心[お菓子] おかし
物品[物] もの
季节 シーズン
修学旅行[修学旅行] しゅうがくりょこう
游客[観光客] かんこうきゃく
作家[作家] さっか
部长[部長] ぶちょう
平日[平日] へいじつ
日子[日] ひ
生活[生活] せいかつ
世界[世界] せかい
晴天[晴れ] はれ
雨[雨] あめ
阴天[曇り] くもり
雪[雪] ゆき
脏[汚い] きたない
漂亮(or干净)[綺麗] きれい
有名[有名] ゆうめい
热闹[賑やか] にぎやか
安静[静か] しずか
空闲[暇] ひま
热情[親切] しんせつ
喜欢(形容词)[好き] すき
讨厌[嫌い] きらい
方便[便利] べんり
不方便[不便] ふべん
健康[元気] げんき
简单[簡単] かんたん
英俊 ハンサム
什么样的 どんな
怎样 どう
如何(礼貌用) いかが
各种各样 いろいろ
可是 でも
而且 そして
哎(转移话题) ところで
咦 あれえ
奈良[奈良] なら
富士山[富士山] ふじさん
再~~一点[もう少し] もうすこし
[~中] じゅう
