歌曲[歌] うた
卡拉OK カラオケ
摇滚乐 ロック
流行音乐 ポップス
西方古典音乐 クラシック
钢琴 ピアノ
画儿[絵] え
英语[英語] えいご
西班牙语 スペイン語
体育 スポーツ
游泳[水泳] すいえい
高尔夫 ゴルフ
开车[運転] うんてん
饮料[飲み物] のみもの
酒[お酒] おさけ
肉[肉] にく
蔬菜[野菜] やさい
水果[果物] くだもの
向日葵 ヒマワリ
玫瑰 バラ
电脑 コンピュータ
窗户[窓] まど
结婚典礼[結婚式] けっこんしき
摄影展[写真展] しゃしんてん
旅馆[旅館] りょかん
别墅[別荘] べっそう
木片儿拼花工艺品[寄木細工] よせぎざいく
花纹[模様] もよう
外国[外国] がいこく
会议[会議] かいぎ
腿[脚] あし
我(小男孩自称)[僕] ぼく
明白[分かる] わかる
犹豫[迷う] まよう
会(表示能力) できる
关闭[閉める] しめる
疲倦[疲れる] つかれる
散步[散歩する] さんぽする
害怕[怖い] こわい
红[赤い] あかい
疼痛[痛い] いたい
擅长[上手] じょうず
水平低[下手] へた
不擅长[苦手] にがて
有时[時々] ときどき
经常(频率第二) よく
偶尔 たまに
再 また
为什么 どうして
所以1(普通体) だから
所以2(礼貌体) ですから
不用(礼貌的拒绝) けっこうです
喜欢(短语) きにいります
等等(和や配合用) など
