包裹[荷物] にもつ
明信片 はがき
邮票[切手] きって
抽屉[引き出し] ひきだし
相册 アルバム
烟(烟草) タバコ
漫画[漫画] まんが
车库(汽车房) ガレージ
修理[修理] しゅうり
酒馆[居酒屋] いざかや
生啤[生ビール] なまビール
烤鸡肉串[焼き鳥] やきとり
炸鸡(油炸食品)[唐揚げ] からあげ
土豆炖肉[肉じゃが] にくじゃが
保龄球 ボーリング
头发[髪] かみ
大象[象] ぞう
白天(中午)[昼] ひる
另外(其他) ほか
花费(时间,金钱) かかる
花开[咲く] さく
游泳[泳ぐ] およぐ
玩(玩耍)[遊ぶ] あそぶ
吸(烟)[吸う] すう
剪(切,割)[切る] きる
大约(大概,大体) だいたい
暂且 とりあえず
多久(多少钱)1 どのぐらい
多久(多少钱)2 どれぐらい
~[冊] さつ
次数~[回] かい
薄平的物品~[枚] まい
立体的物品~[個] こ
容器的饮料~[杯] はい
~[人] にん
机械或车辆~[台] だい
细长的物品~[本] ほん
大动物~[頭] とう
小动物~[匹] ひき
衣服~[着] ちゃく
鸟兔子~[羽] わ
顺序~[番] ばん
成对物品例如鞋~[足] そく
~[度] ど
盘~[皿] さら
几小时~[時間] じかん
几个周~[週間] しゅうかん
几个月~[か月] かげつ
多个人或物体，使名词变成复数形式 たち
千米 キロメートル
