海运[船便] ふなびん
文件(文稿)[書類] しょるい
稿子(原稿)[原稿] げんこう
报道[記事] きじ
记录 メモ
车站一带[駅前] えきまえ
桥梁[橋] はし
拐角[角] かど
人行横道[横断歩道] おうだんほどう
右边[右] みぎ
左边[左] ひだり
十字路口[交差点] こうさてん
道路[道] みち
门 ドア
电(电力)[電気] でんき
太极拳[太極拳] たいきょくけん
早饭[朝ご飯] あさごはん
晚饭[晩ご飯] ばんごはん
户外烧烤 バーベキュー
通过(经过)[通る] とおる
急(匆忙)[急ぐ] いそぐ
飞(飞行)[飛ぶ] とぶ
死(死亡)[死ぬ] しぬ
等待(等候)[待つ] まつ
卖(销售)[売る] うる
说话(说)[話す] はなす
过马路(过桥)[渡る] わたる
取(卸货)[下ろす] おろす
选择(挑选)[選ぶ] えらぶ
关灯(消除/去除)[消す] けす
步行(行走)[歩く] あるく
拐弯(曲折)[曲がる] まがる
洗(洗涤)[洗う] あらう
离开[出る] でる
外出(出门)[出かける] でかける
开(打开/开启)[開ける] あける
过[過ぎる] すぎる
给~看(出示)[見せる] みせる
开(开灯) つける
下车(下山)[降りる] おりる
买东西[買い物する] かいものする
毕业[卒業する] そつぎょうする
吃饭(用餐)[食事する] しょくじする
整理[整理する] せいりする
复印 コピーする
黑暗(昏暗)[暗い] くらい
够受的(不得了)[大変] たいへん
相当(很/非常-对长辈不礼貌-副词) なかなか
这样(如此) こう
那样1 そう
那样2 ああ
过会儿[後で] あとで
然后(另外) それから
