小船(小艇) ボート
长椅(长凳) ベンチ
市政府[市役所] しやくしょ
手机[携帯電話] けいたいでんわ
禁止吸烟[禁煙] きんえん
感冒[風邪] かぜ
发烧(体温)[熱] ねつ
睡眠[睡眠] すいみん
浴室(澡堂)[お風呂] おふろ
药店[薬局] やっきょく
空调 クーラー
火[火] ひ
精神(意识)[気] き
事先商量(碰头)(商洽)[打ち合わせ] うちあわせ
勉强(难以办到)[無理] むり
禁止停车[駐車禁止] ちゅうしゃきんし
禁止进入[立入禁止] たちいりきんし
禁止拍照[撮影禁止] さつえいきんし
严禁烟火[火気厳禁] かきげんきん
乘坐(乘)[乗る] のる
用(使用)[使う] つかう
坐(落座)[座る] すわる
进入(加入)[入る] はいる
是(说)(讲)(告诉)[申す] もうす
取(取得) とる
唱(歌唱)[歌う] うたう
说(传达)(转告)[伝える] つたえる
停(制止)[止める] とめる
热乎(温暖)(形1)[温かい] あたたかい
没关系(放心)(形2)[大丈夫] だいじょうぶ
不行(不可以)(形2) だめ
好好地(充足地)(副词)[十分] じゅうぶん
当然(不用说)(副词) もちろん
好好地(安静地)(副词) ゆっくり
喂(接电话时) もしもし
请多保重(短语)[お大事に] おだいじに
不行(不可以)(短语) いけません
没关系(不要紧)(短语) かまいません
还没有(仍然...没有)(短语) まだです
注意(短语)[気をつけます] きをつけます
勉强(短语)[無理をします] むりをします
睡觉(短语)[睡眠をとります] すいみんをとります
洗澡(短语)[お風呂に入ります] おふろにはいります
