操作(操纵)[操作] そうさ
机械(机器)[機械] きかい
旅行社[旅行会社] りょこうがいしゃ
航空公司[航空会社] こうくうがいしゃ
营业部[営業部] えいぎょうぶ
IT产业(信息技术产业)[アイティー産業] アイティーさんぎょう
产品[製品] せいひん
建筑师[建築家] けんちくか
设计[設計] せっけい
设计(图)or(制作)图案 デザイン
造型(形状)(形式)[形] かたち
最新[最新] さいしん
领带 ネクタイ
钱包[財布] さいふ
革(皮革)[革] かわ
布(布匹)[布] ぬの
水壶(水筒)[水筒] すいとう
绿(绿色)[緑] みどり
脚[足] あし
手指(指头)[指] ゆび
眼(眼睛)[眼] め
鼻(鼻子)[鼻] はな
脸(颜面)[顔] かお
头(头脑)[頭] あたま
身份证件 アイディーカード
错误(失误)[間違い] まちがい
问题[問題] もんだい
广告[広告] こうこく
牌子[看板] かんばん
展览会场[展示場] てんじじょう
门票(进场费)[入場料] にゅうじょうりょう
服务 サービス
天棚[天井] てんじょう
戒备(警备)[警備] けいび
圣诞树 クリスマスツリー
澳大利亚人 オーストラリアじん
大家(诸位)[皆さん] みなさん
孩子[子] こ
旁边(侧面)[横] よこ
有(拥有)(持有)[持つ] もつ
住(居住)[住む] すむ
认知(知道)(了解)[知る] しる
改(修改)(改正)[直す] なおす
收拾(整理)[片づける] かたづける
练习[練習する] れんしゅうする
结婚[結婚する] けっこんする
安心(放心)[安心する] あんしんする
明亮(开朗)[明るい] あかるい
长(长久)(长远)[長い] ながい
短(短暂)[短い] みじかい
轻巧(轻)(轻松)(轻微)[軽い] かるい
和蔼(温和)(体贴)[優しい] やさしい
小(细长)(纤细)[細い] ほそい
胖(粗)[太い] ふとい
黑(黑色)[黒い] くろい
独特 ユニーク
安全[安全] あんぜん
耀眼(花哨)[派手] はで
朴素(质朴)[地味] じみ
严格(森严)[厳重] げんじゅう
认真(严肃) まじめ
重要(珍贵)[大切] たいせつ
复杂(繁杂)[複雑] ふくざつ
好好地(的却)(完全)[副词] ちゃんと
还(尚)[副词] まだ
马上(立即)[副词] すぐ
相当(非常)(很)[副词] ずいぶん
你看(瞧)(喂) ほら
日中电器[日中電気] にっちゅうでんき
脑子好(聪明)[頭がいい] あたまがいい
