声音(响声)[音] おと
声音[声] こえ
空气[空気] くうき
儿子[息子] むすこ
医生[医者] いしゃ
令爱[お嬢さん] おじょうさん
社会的一员(成人)[社会人] しゃかいじん
旅行导游[旅行ガイド] りょこうガイド
学者[学者] がくしゃ
飞行员 パイロット
设计者(设计家) デザイナー
时段廉价销售 タイムサービス
新年大甩卖 しんしゅんセール
七折[三割引き] さんわりびき
定价[定価] ていか
半价[半額] はんがく
价格[値段] ねだん
衬衫 シャツ
裙子 スカート
颜色[色] いろ
过年(新年)[お正月] おしょうがつ
时间[時間] じかん
将来[将来] しょうらい
准备[準備] じゅんび
疾病[病気] びょうき
变(当)(变成)(成为) なる
开[開く] あく
适合(相称)[似合う] にあう
闹(使人心烦) うるさい
单纯(简单) シンプル
马上(一会儿)(不久)(比较礼貌)[間もなく] まもなく
马上(口语) もうすぐ
更加(更)(比较礼貌) さらに
更加(更)(口语) もっと
尽量(尽可能) できるだけ
一下子(一起)(汇总)(汇集) まとめて
从现在起[今から] いまから
