物品(商品)[品物] しなもの
盘子[お皿] おさら
垃圾 ごみ
初学者[初心者] しょしんしゃ
熟练者[上級者] じょうきゅうしゃ
高级[高級] こうきゅう
高级班 じょうきゅうクラス
英语会话[英会話] えいかいわ
路线(滑道) コース
滑雪 スキー
报告 レポート
护照 パスポート
喉咙 のど
碰(触)[触る] さわる
脱[脱ぐ] ぬぐ
摔(摔倒)(跌倒)[転ぶ] ころぶ
渴[渇く] かわく
痊愈(医好)[治る] なおる
滑(滑行)[滑る] すべる
呼喊[呼ぶ] よぶ
归还[返す] かえす
帮忙[手伝う] てつだう
搬运[運ぶ] はこぶ
丢(丢失) なくす
掉(使落下)[落とす] おとす
放置[置く] おく
支付[払う] はらう
站(立)[立つ] たつ
忘记[忘れる] わすれる
慌张(惊慌)(着急)[慌てる] あわてる
扔(扔掉)[捨てる] すてる
加班[残業する] ざんぎょうする
担心[心配する] しんぱいする
真的(真正)[本当] ほんとう
早点儿[早く] はやく
好不容易(终于) やっと
很(相当的) だいぶ
第一次[初めて] はじめて
先[先に] さきに
山田[山田] やまだ
